id,filename,style,caption,source,author,licence,collection_date,permitted_use,width,height,sha256,split,notes
DS-0001,geo-1000.png,minimal-geometric,"minimal geometric abstract style skateboard decal artwork, abstract composition of 9 flat geometric shapes",ml/dataset/generate_geometric.py,DeckForge AI project (Kylian Algoet),project-original,2026-07-27,unrestricted (project-original generated artwork),512,1536,920d78e050546f77b1f0ca17444ac90bb6f5e9ce183499b0e81db7410053d445,train,"generated by ml/dataset/generate_geometric.py (seed=1000, palette_index=3, shape_count=9, version=1.0)"
DS-0002,geo-1001.png,minimal-geometric,"minimal geometric abstract style skateboard decal artwork, abstract composition of 5 flat geometric shapes",ml/dataset/generate_geometric.py,DeckForge AI project (Kylian Algoet),project-original,2026-07-27,unrestricted (project-original generated artwork),512,1536,2af5d6cf575fb844811c8710c461af256ebe4c2fdfd0b3b361e309437c5426b2,train,"generated by ml/dataset/generate_geometric.py (seed=1001, palette_index=0, shape_count=5, version=1.0)"
DS-0003,geo-1002.png,minimal-geometric,"minimal geometric abstract style skateboard decal artwork, abstract composition of 8 flat geometric shapes",ml/dataset/generate_geometric.py,DeckForge AI project (Kylian Algoet),project-original,2026-07-27,unrestricted (project-original generated artwork),512,1536,da5cd444d933ea201059a43c867e90afc6d312f81e4f42e5b9785f775ed3c39b,train,"generated by ml/dataset/generate_geometric.py (seed=1002, palette_index=4, shape_count=8, version=1.0)"
DS-0004,geo-1003.png,minimal-geometric,"minimal geometric abstract style skateboard decal artwork, abstract composition of 8 flat geometric shapes",ml/dataset/generate_geometric.py,DeckForge AI project (Kylian Algoet),project-original,2026-07-27,unrestricted (project-original generated artwork),512,1536,562ab6445b801b12e3e13b068fa9cc56ce6246f582eec48808d250e39461c027,train,"generated by ml/dataset/generate_geometric.py (seed=1003, palette_index=3, shape_count=8, version=1.0)"
DS-0005,geo-1004.png,minimal-geometric,"minimal geometric abstract style skateboard decal artwork, abstract composition of 4 flat geometric shapes",ml/dataset/generate_geometric.py,DeckForge AI project (Kylian Algoet),project-original,2026-07-27,unrestricted (project-original generated artwork),512,1536,aa5be5c7c00d4d81b837f8a3cc22fad7d90eff815c85606cbcdef551661cc406,train,"generated by ml/dataset/generate_geometric.py (seed=1004, palette_index=3, shape_count=4, version=1.0)"
DS-0006,geo-1005.png,minimal-geometric,"minimal geometric abstract style skateboard decal artwork, abstract composition of 7 flat geometric shapes",ml/dataset/generate_geometric.py,DeckForge AI project (Kylian Algoet),project-original,2026-07-27,unrestricted (project-original generated artwork),512,1536,1a131e435b40c435525d88bbb9a154fef4502ab24b232a85f4777aa60a281309,train,"generated by ml/dataset/generate_geometric.py (seed=1005, palette_index=3, shape_count=7, version=1.0)"
DS-0007,geo-1006.png,minimal-geometric,"minimal geometric abstract style skateboard decal artwork, abstract composition of 4 flat geometric shapes",ml/dataset/generate_geometric.py,DeckForge AI project (Kylian Algoet),project-original,2026-07-27,unrestricted (project-original generated artwork),512,1536,88e4ec0241ab815dc919fd828594360979bd154b4b323c031d1f88b945b23ec7,train,"generated by ml/dataset/generate_geometric.py (seed=1006, palette_index=2, shape_count=4, version=1.0)"
DS-0008,geo-1007.png,minimal-geometric,"minimal geometric abstract style skateboard decal artwork, abstract composition of 8 flat geometric shapes",ml/dataset/generate_geometric.py,DeckForge AI project (Kylian Algoet),project-original,2026-07-27,unrestricted (project-original generated artwork),512,1536,d2a40c674d3def05062a31bd8ce7dc15dfd51cf95919484aa276a045c2973a2a,train,"generated by ml/dataset/generate_geometric.py (seed=1007, palette_index=0, shape_count=8, version=1.0)"
DS-0009,geo-1008.png,minimal-geometric,"minimal geometric abstract style skateboard decal artwork, abstract composition of 7 flat geometric shapes",ml/dataset/generate_geometric.py,DeckForge AI project (Kylian Algoet),project-original,2026-07-27,unrestricted (project-original generated artwork),512,1536,0f287c682e5e0e5df75846fec966a67b3d038bef45104ddcd368d89c07203a08,train,"generated by ml/dataset/generate_geometric.py (seed=1008, palette_index=4, shape_count=7, version=1.0)"
DS-0010,geo-1009.png,minimal-geometric,"minimal geometric abstract style skateboard decal artwork, abstract composition of 4 flat geometric shapes",ml/dataset/generate_geometric.py,DeckForge AI project (Kylian Algoet),project-original,2026-07-27,unrestricted (project-original generated artwork),512,1536,bedaa204eea43caad5293fb8afd0b9aa73c57bb95abdfb762ddbe7c4c68647d5,train,"generated by ml/dataset/generate_geometric.py (seed=1009, palette_index=1, shape_count=4, version=1.0)"
DS-0011,geo-1010.png,minimal-geometric,"minimal geometric abstract style skateboard decal artwork, abstract composition of 8 flat geometric shapes",ml/dataset/generate_geometric.py,DeckForge AI project (Kylian Algoet),project-original,2026-07-27,unrestricted (project-original generated artwork),512,1536,418c8ad665413d2d809f98327b293e3ad343d624ef9fda740d289152a53ef4b3,train,"generated by ml/dataset/generate_geometric.py (seed=1010, palette_index=5, shape_count=8, version=1.0)"
DS-0012,geo-1011.png,minimal-geometric,"minimal geometric abstract style skateboard decal artwork, abstract composition of 6 flat geometric shapes",ml/dataset/generate_geometric.py,DeckForge AI project (Kylian Algoet),project-original,2026-07-27,unrestricted (project-original generated artwork),512,1536,6475e39ede8f539b7d60e248f11eb6c8c85f790b1868e6bf26d4a1eb6580ce8d,train,"generated by ml/dataset/generate_geometric.py (seed=1011, palette_index=2, shape_count=6, version=1.0)"
DS-0013,geo-1012.png,minimal-geometric,"minimal geometric abstract style skateboard decal artwork, abstract composition of 5 flat geometric shapes",ml/dataset/generate_geometric.py,DeckForge AI project (Kylian Algoet),project-original,2026-07-27,unrestricted (project-original generated artwork),512,1536,df9121d128811e49987a1811621ee9bbc36e98a723573ad790e934b19c9a0af6,train,"generated by ml/dataset/generate_geometric.py (seed=1012, palette_index=2, shape_count=5, version=1.0)"
DS-0014,geo-1013.png,minimal-geometric,"minimal geometric abstract style skateboard decal artwork, abstract composition of 6 flat geometric shapes",ml/dataset/generate_geometric.py,DeckForge AI project (Kylian Algoet),project-original,2026-07-27,unrestricted (project-original generated artwork),512,1536,ba69b2bb4834cc4d2e2478ede260ddff0c68d449708f7e7bb098f24d5cbfa645,val,"generated by ml/dataset/generate_geometric.py (seed=1013, palette_index=3, shape_count=6, version=1.0)"
DS-0015,geo-1014.png,minimal-geometric,"minimal geometric abstract style skateboard decal artwork, abstract composition of 4 flat geometric shapes",ml/dataset/generate_geometric.py,DeckForge AI project (Kylian Algoet),project-original,2026-07-27,unrestricted (project-original generated artwork),512,1536,56e3c4b0ee7940e23aa21702ddddbc92a32e849c15a34544b598d4e0a1bbc390,train,"generated by ml/dataset/generate_geometric.py (seed=1014, palette_index=4, shape_count=4, version=1.0)"
DS-0016,geo-1015.png,minimal-geometric,"minimal geometric abstract style skateboard decal artwork, abstract composition of 6 flat geometric shapes",ml/dataset/generate_geometric.py,DeckForge AI project (Kylian Algoet),project-original,2026-07-27,unrestricted (project-original generated artwork),512,1536,94a5e4194ffbda1c5bb2af942290d49de997ab21f67351abfa8a61fd04c021f8,train,"generated by ml/dataset/generate_geometric.py (seed=1015, palette_index=0, shape_count=6, version=1.0)"
DS-0017,geo-1016.png,minimal-geometric,"minimal geometric abstract style skateboard decal artwork, abstract composition of 9 flat geometric shapes",ml/dataset/generate_geometric.py,DeckForge AI project (Kylian Algoet),project-original,2026-07-27,unrestricted (project-original generated artwork),512,1536,94c1acfb880abc829d4dde053c198724cd523095a08622c5ddde9460a62b2bf9,train,"generated by ml/dataset/generate_geometric.py (seed=1016, palette_index=2, shape_count=9, version=1.0)"
DS-0018,geo-1017.png,minimal-geometric,"minimal geometric abstract style skateboard decal artwork, abstract composition of 9 flat geometric shapes",ml/dataset/generate_geometric.py,DeckForge AI project (Kylian Algoet),project-original,2026-07-27,unrestricted (project-original generated artwork),512,1536,ca0f1eb557220b671ece5d6dba64e8e8a126f5e9d37fb027710d4f1269eb2910,train,"generated by ml/dataset/generate_geometric.py (seed=1017, palette_index=3, shape_count=9, version=1.0)"
DS-0019,geo-1018.png,minimal-geometric,"minimal geometric abstract style skateboard decal artwork, abstract composition of 9 flat geometric shapes",ml/dataset/generate_geometric.py,DeckForge AI project (Kylian Algoet),project-original,2026-07-27,unrestricted (project-original generated artwork),512,1536,37d82cedcfa98bde283ed2659fe1ccfc2f429de0c2ac9da01655bbb60123b016,train,"generated by ml/dataset/generate_geometric.py (seed=1018, palette_index=3, shape_count=9, version=1.0)"
