id,split,sha256,width,height,source_path,licence,permitted_use,dataset_v1_caption,training_caption,inclusion_reason,exclusion_reason
DS-0053,train,f3fde6aa6a0e3dd554ddee96bfbcf270e83c9460959dab41a2e1f82801e6e634,512,640,data/raw/retro-poster/loc-2001695228.jpg,public domain,"unrestricted (US WPA poster, LOC: no known restrictions)","retro silkscreen poster style skateboard decal artwork, carmen municipal auditorium long beach",xpst retro silkscreen poster style skateboard decal artwork,"retro-poster train split, sorted by id ascending; position 1 of 36",
DS-0054,train,80bb4f44687a799ed0089d922292b8bc06d7c150438f98f6c0e26a1bf2efab7f,700,1024,data/raw/retro-poster/loc-92500652.jpg,public domain,"unrestricted (US WPA poster, LOC: no known restrictions)","retro silkscreen poster style skateboard decal artwork, alien corn by sidney howard",xpst retro silkscreen poster style skateboard decal artwork,"retro-poster train split, sorted by id ascending; position 2 of 36",
DS-0055,train,36a602a73a0affdd4bfbf660ae22a108c9c2c8cf90f1b2d7d5386ec6a4c9433d,693,1024,data/raw/retro-poster/loc-98507320.jpg,public domain,"unrestricted (US WPA poster, LOC: no known restrictions)","retro silkscreen poster style skateboard decal artwork, the alarm clock by avery hopwood",xpst retro silkscreen poster style skateboard decal artwork,"retro-poster train split, sorted by id ascending; position 3 of 36",
DS-0056,train,5e2b6ca338e3a1b3e834d95fe5c08169094d1161764ffd830298fe1dbc08e016,704,1024,data/raw/retro-poster/loc-98507361.jpg,public domain,"unrestricted (US WPA poster, LOC: no known restrictions)","retro silkscreen poster style skateboard decal artwork, brothers by herbert ashton jr",xpst retro silkscreen poster style skateboard decal artwork,"retro-poster train split, sorted by id ascending; position 4 of 36",
DS-0057,train,3c40c6003968bc5b19b3df150455e0b581d91b7a2921f9c9aa0cc7874ea0cb35,681,1024,data/raw/retro-poster/loc-98507364.jpg,public domain,"unrestricted (US WPA poster, LOC: no known restrictions)","retro silkscreen poster style skateboard decal artwork, chalk dust modern youthful comedy drama",xpst retro silkscreen poster style skateboard decal artwork,"retro-poster train split, sorted by id ascending; position 5 of 36",
DS-0058,train,c0d01938dccc06993e031c4f6398e0b1281a382bdfc18427e90612063fb5cbec,1024,689,data/raw/retro-poster/loc-98507382.jpg,public domain,"unrestricted (US WPA poster, LOC: no known restrictions)","retro silkscreen poster style skateboard decal artwork, the devil passes by benn w levy",xpst retro silkscreen poster style skateboard decal artwork,"retro-poster train split, sorted by id ascending; position 6 of 36",
DS-0059,train,3704e4011880ae5a450e4454a881b8dccfb236caf4bc9101bd646ac0f0a59277,682,1024,data/raw/retro-poster/loc-98516923.jpg,public domain,"unrestricted (US WPA poster, LOC: no known restrictions)","retro silkscreen poster style skateboard decal artwork, the amazing dr clitterhouse by barre lyndon",xpst retro silkscreen poster style skateboard decal artwork,"retro-poster train split, sorted by id ascending; position 7 of 36",
DS-0060,train,70c1e65c3d5545f5308c54177327d5c0d98fe4f54336f90797a41a7492647a4d,1024,702,data/raw/retro-poster/loc-98516929.jpg,public domain,"unrestricted (US WPA poster, LOC: no known restrictions)","retro silkscreen poster style skateboard decal artwork, charles c stewart s habit",xpst retro silkscreen poster style skateboard decal artwork,"retro-poster train split, sorted by id ascending; position 8 of 36",
DS-0061,train,4d99e8dfd68e3b9769b61c4859096d69826fb02e4c8f441239bb85b9f0890276,690,1024,data/raw/retro-poster/loc-98516932.jpg,public domain,"unrestricted (US WPA poster, LOC: no known restrictions)","retro silkscreen poster style skateboard decal artwork, the federal theatre project presents day is darkness in 3",xpst retro silkscreen poster style skateboard decal artwork,"retro-poster train split, sorted by id ascending; position 9 of 36",
DS-0062,train,2c3df30696281c9fe7591389fe99d90498c7dd18977f525c844bc8c2fe007554,674,1024,data/raw/retro-poster/loc-98516933.jpg,public domain,"unrestricted (US WPA poster, LOC: no known restrictions)","retro silkscreen poster style skateboard decal artwork, the federal theatre project presents day is darkness in 3",xpst retro silkscreen poster style skateboard decal artwork,"retro-poster train split, sorted by id ascending; position 10 of 36",
DS-0063,train,64a9fe83db5e87bb7ec5411f8764bdff21357cbe1712afeabe3088a6dd66cd54,686,1024,data/raw/retro-poster/loc-98516938.jpg,public domain,"unrestricted (US WPA poster, LOC: no known restrictions)","retro silkscreen poster style skateboard decal artwork, counsellor at law gripping drama by elmer rice",xpst retro silkscreen poster style skateboard decal artwork,"retro-poster train split, sorted by id ascending; position 11 of 36",
DS-0064,train,703f17635661aa37e5083898746fade3f44a09552ba9843eb27d625243df01c4,687,1024,data/raw/retro-poster/loc-98516941.jpg,public domain,"unrestricted (US WPA poster, LOC: no known restrictions)","retro silkscreen poster style skateboard decal artwork, charles dicken s immortal play the cricket on the hearth",xpst retro silkscreen poster style skateboard decal artwork,"retro-poster train split, sorted by id ascending; position 12 of 36",
DS-0065,train,a03dcc3f0dd4833579228bdb7d62613a49f3d74ce2b131f0dc8240cc740523db,686,1024,data/raw/retro-poster/loc-98516950.jpg,public domain,"unrestricted (US WPA poster, LOC: no known restrictions)","retro silkscreen poster style skateboard decal artwork, the amazing dr clitterhouse by barre lyndon",xpst retro silkscreen poster style skateboard decal artwork,"retro-poster train split, sorted by id ascending; position 13 of 36",
