id,split,sha256,width,height,source_path,licence,permitted_use,dataset_v1_caption,training_caption,inclusion_reason,exclusion_reason
DS-0094,train,976bcc62bea14fc2d04a629b5e64ad15122d4ebe67a8d8e531a5fc677fab7db9,3889,2531,data/raw/ukiyo-e/met-36531.jpg,CC0,"unrestricted, including ML training (Met Open Access CC0)","ukiyo-e woodblock print style skateboard decal artwork, night rain at karasaki from the series eight views of",xkyo ukiyo-e woodblock print style skateboard decal artwork,"ukiyo-e train split, sorted by id ascending; position 1 of 44",
DS-0096,train,cc6938cbcd451dd48aa7afd73e3c46ad8e52dd544a32c1f02e628b43ca53687e,1759,3923,data/raw/ukiyo-e/met-36622.jpg,CC0,"unrestricted, including ML training (Met Open Access CC0)","ukiyo-e woodblock print style skateboard decal artwork, couple in an evening shower from the series three evening",xkyo ukiyo-e woodblock print style skateboard decal artwork,"ukiyo-e train split, sorted by id ascending; position 2 of 44",
DS-0097,train,1e55877ef593340486c6bae866cd84827e5693c727016d7f66e4d893f175a668,4000,2950,data/raw/ukiyo-e/met-36669.jpg,CC0,"unrestricted, including ML training (Met Open Access CC0)","ukiyo-e woodblock print style skateboard decal artwork, perspective print uki e of the theaters in sakaichō and",xkyo ukiyo-e woodblock print style skateboard decal artwork,"ukiyo-e train split, sorted by id ascending; position 3 of 44",
DS-0098,train,7a244af000ca4d08c36eec03d16eeac6ca1b866f4d35905e8774b192c9ef03be,4000,1919,data/raw/ukiyo-e/met-36679.jpg,CC0,"unrestricted, including ML training (Met Open Access CC0)","ukiyo-e woodblock print style skateboard decal artwork, fair travellers fording the river oi",xkyo ukiyo-e woodblock print style skateboard decal artwork,"ukiyo-e train split, sorted by id ascending; position 4 of 44",
DS-0099,train,db7720e7967fa27ba4996c6ddf3549dc5e219eaea7401ae73838dd8a5ba9a657,3981,2065,data/raw/ukiyo-e/met-36681.jpg,CC0,"unrestricted, including ML training (Met Open Access CC0)","ukiyo-e woodblock print style skateboard decal artwork, picking clams",xkyo ukiyo-e woodblock print style skateboard decal artwork,"ukiyo-e train split, sorted by id ascending; position 5 of 44",
DS-0100,train,2320f75ac29636aafc94a30fa80e1f8f7fbdfada8873b327be2417b22e5adba3,3505,4000,data/raw/ukiyo-e/met-37016.jpg,CC0,"unrestricted, including ML training (Met Open Access CC0)","ukiyo-e woodblock print style skateboard decal artwork, mother and son by a mosquito net",xkyo ukiyo-e woodblock print style skateboard decal artwork,"ukiyo-e train split, sorted by id ascending; position 6 of 44",
DS-0101,train,28e23be9d15450c3cbab86cbee1ddba4a3a6a6344063809db3a9e82ded006662,2283,3901,data/raw/ukiyo-e/met-37099.jpg,CC0,"unrestricted, including ML training (Met Open Access CC0)","ukiyo-e woodblock print style skateboard decal artwork, dekishima hanya seated on a cherry tree",xkyo ukiyo-e woodblock print style skateboard decal artwork,"ukiyo-e train split, sorted by id ascending; position 7 of 44",
DS-0102,train,2af26c74f5bf07ccb13139398566f19feb752f95b5c43a08f35c6bac8e64fe53,2388,3932,data/raw/ukiyo-e/met-37104.jpg,CC0,"unrestricted, including ML training (Met Open Access CC0)","ukiyo-e woodblock print style skateboard decal artwork, kabuki actors nakamura gentaro and ikushima shingoro",xkyo ukiyo-e woodblock print style skateboard decal artwork,"ukiyo-e train split, sorted by id ascending; position 8 of 44",
DS-0104,train,b48be60897d534005b0d0c63cc5dd0a755f4abc25b8c3812e102f28e10452b9b,4000,3337,data/raw/ukiyo-e/met-37130.jpg,CC0,"unrestricted, including ML training (Met Open Access CC0)","ukiyo-e woodblock print style skateboard decal artwork, amorous couple",xkyo ukiyo-e woodblock print style skateboard decal artwork,"ukiyo-e train split, sorted by id ascending; position 9 of 44",
DS-0105,train,ca5f564af347a99473ea3f6141dbb17b75774686c6c0d0323da026022905d04f,3025,3838,data/raw/ukiyo-e/met-37268.jpg,CC0,"unrestricted, including ML training (Met Open Access CC0)","ukiyo-e woodblock print style skateboard decal artwork, the gossips",xkyo ukiyo-e woodblock print style skateboard decal artwork,"ukiyo-e train split, sorted by id ascending; position 10 of 44",
DS-0107,train,c6d07f8061bc18f2ca60c107bbc3c6dcc947fda432c05c9355b00df5dbc4b88f,2000,1094,data/raw/ukiyo-e/met-37388.jpg,CC0,"unrestricted, including ML training (Met Open Access CC0)","ukiyo-e woodblock print style skateboard decal artwork, foreigners enjoying themselves in the gankirō",xkyo ukiyo-e woodblock print style skateboard decal artwork,"ukiyo-e train split, sorted by id ascending; position 11 of 44",
DS-0108,train,4f50f746ce151515edb51b10dc4224f20c60ca0ee465fc5f67aa3f95f14bf565,1245,1894,data/raw/ukiyo-e/met-41057.jpg,CC0,"unrestricted, including ML training (Met Open Access CC0)","ukiyo-e woodblock print style skateboard decal artwork, woman admiring plum blossoms at night",xkyo ukiyo-e woodblock print style skateboard decal artwork,"ukiyo-e train split, sorted by id ascending; position 12 of 44",
DS-0109,train,4f87ef2362e16eb7f49b16ca93d9e06ef114cec3e006b3e50a6927ff1108cfc1,1583,2000,data/raw/ukiyo-e/met-45029.jpg,CC0,"unrestricted, including ML training (Met Open Access CC0)","ukiyo-e woodblock print style skateboard decal artwork, view of saruhashi monkey bridge",xkyo ukiyo-e woodblock print style skateboard decal artwork,"ukiyo-e train split, sorted by id ascending; position 13 of 44",
DS-0110,train,d9f8186e336ed09ae6bb2b04e050b72681e893b3578e89ed4c18a1c68f01b404,1449,2000,data/raw/ukiyo-e/met-45085.jpg,CC0,"unrestricted, including ML training (Met Open Access CC0)","ukiyo-e woodblock print style skateboard decal artwork, lovers walking in the snow crow and heron",xkyo ukiyo-e woodblock print style skateboard decal artwork,"ukiyo-e train split, sorted by id ascending; position 14 of 44",
DS-0112,train,a8e30756a1bfdf628fc8519513c2704a327294eb1e44ab8138dd780efac5c4ea,2521,3774,data/raw/ukiyo-e/met-51093.jpg,CC0,"unrestricted, including ML training (Met Open Access CC0)","ukiyo-e woodblock print style skateboard decal artwork, geisha and attendant on a rainy night",xkyo ukiyo-e woodblock print style skateboard decal artwork,"ukiyo-e train split, sorted by id ascending; position 15 of 44",
DS-0113,train,eb48d436f274b8c3a2c1049a7223fe276166eaf5b5e8bd2f98718ad32f5db3bf,3002,4000,data/raw/ukiyo-e/met-53449.jpg,CC0,"unrestricted, including ML training (Met Open Access CC0)","ukiyo-e woodblock print style skateboard decal artwork, six jewel rivers from various provinces",xkyo ukiyo-e woodblock print style skateboard decal artwork,"ukiyo-e train split, sorted by id ascending; position 16 of 44",
