exp_id,track,timestamp_utc,model_repo_id,model_revision_sha,torch_version,torch_cuda_version,diffusers_version,gpu_name,dtype,scheduler,prompt_id,prompt_sha256,negative_prompt_sha256,seed,width,height,steps,guidance_scale,memory_tier,safety_checker_present,safety_checker_enabled,vae_variant,load_seconds,generate_seconds,peak_vram_allocated_mb,peak_vram_reserved_mb,peak_device_used_mb,peak_process_rss_mb,output_sha256,status,error_type,error_message,output_path
EXP-002,A,2026-07-30T00:26:09+00:00,stable-diffusion-v1-5/stable-diffusion-v1-5,451f4fe16113bff5a5d2269ed5ad43b0592e9a14,2.13.0+cu126,12.6,0.39.0,NVIDIA GeForce RTX 4060 Laptop GPU,float16,DPMSolverMultistepScheduler,P1-poster,9c67354e368ec9b9f6e28c25781f08ad6c816ef91f74c3b969ea4591b4c24722,322eba37a8cc00f3465f0420c556f351054c86b0fe77297c0e50f65cb6b7b494,42,512,512,30,7.5,0,True,False,pipeline default,7.946,4.047,2675.38,3246.0,4359.5,2665.59,cee27050f45b5ab6bbbdad05dc9f2146b202377e64261840d553b1c61fe9c5af,ok,,,outputs/EXP-002/EXP-002__sd15__A__P1-poster__512x512__seed42__st30__cfg7p5__tier0.png
EXP-002,A,2026-07-30T00:26:13+00:00,stable-diffusion-v1-5/stable-diffusion-v1-5,451f4fe16113bff5a5d2269ed5ad43b0592e9a14,2.13.0+cu126,12.6,0.39.0,NVIDIA GeForce RTX 4060 Laptop GPU,float16,DPMSolverMultistepScheduler,P1-poster,9c67354e368ec9b9f6e28c25781f08ad6c816ef91f74c3b969ea4591b4c24722,322eba37a8cc00f3465f0420c556f351054c86b0fe77297c0e50f65cb6b7b494,1337,512,512,30,7.5,0,True,False,pipeline default,7.946,4.046,2675.38,3246.0,4359.5,2665.71,3700558a0617e3ae6235dda874ffe35bd4bcd283453906119e5b8e142a611dda,ok,,,outputs/EXP-002/EXP-002__sd15__A__P1-poster__512x512__seed1337__st30__cfg7p5__tier0.png
EXP-002,A,2026-07-30T00:26:17+00:00,stable-diffusion-v1-5/stable-diffusion-v1-5,451f4fe16113bff5a5d2269ed5ad43b0592e9a14,2.13.0+cu126,12.6,0.39.0,NVIDIA GeForce RTX 4060 Laptop GPU,float16,DPMSolverMultistepScheduler,P1-poster,9c67354e368ec9b9f6e28c25781f08ad6c816ef91f74c3b969ea4591b4c24722,322eba37a8cc00f3465f0420c556f351054c86b0fe77297c0e50f65cb6b7b494,2026,512,512,30,7.5,0,True,False,pipeline default,7.946,4.053,2675.38,3246.0,4359.5,2666.55,bdd8c131c8b17a9d414139aae0e5853a8edd372ca82b13f6a38fe699ec1bce7e,ok,,,outputs/EXP-002/EXP-002__sd15__A__P1-poster__512x512__seed2026__st30__cfg7p5__tier0.png
EXP-002,A,2026-07-30T00:26:21+00:00,stable-diffusion-v1-5/stable-diffusion-v1-5,451f4fe16113bff5a5d2269ed5ad43b0592e9a14,2.13.0+cu126,12.6,0.39.0,NVIDIA GeForce RTX 4060 Laptop GPU,float16,DPMSolverMultistepScheduler,P2-geo,85ea0319cf2a6b0219702873d88f21092ac7334553e56c13c7603daec34b4660,322eba37a8cc00f3465f0420c556f351054c86b0fe77297c0e50f65cb6b7b494,42,512,512,30,7.5,0,True,False,pipeline default,7.946,4.066,2675.38,3246.0,4359.5,2666.64,f003da95ec7cb6460fa5444ad8ab78155a524cb93392ef0f3c4d5b2150a3b9cc,ok,,,outputs/EXP-002/EXP-002__sd15__A__P2-geo__512x512__seed42__st30__cfg7p5__tier0.png
EXP-002,A,2026-07-30T00:26:25+00:00,stable-diffusion-v1-5/stable-diffusion-v1-5,451f4fe16113bff5a5d2269ed5ad43b0592e9a14,2.13.0+cu126,12.6,0.39.0,NVIDIA GeForce RTX 4060 Laptop GPU,float16,DPMSolverMultistepScheduler,P2-geo,85ea0319cf2a6b0219702873d88f21092ac7334553e56c13c7603daec34b4660,322eba37a8cc00f3465f0420c556f351054c86b0fe77297c0e50f65cb6b7b494,1337,512,512,30,7.5,0,True,False,pipeline default,7.946,4.059,2675.38,3246.0,4359.5,2666.64,1ff00b4e4febfc9bc48c70573a80f1ab8edf8b751960fae274be497030b38f5b,ok,,,outputs/EXP-002/EXP-002__sd15__A__P2-geo__512x512__seed1337__st30__cfg7p5__tier0.png
EXP-002,A,2026-07-30T00:26:30+00:00,stable-diffusion-v1-5/stable-diffusion-v1-5,451f4fe16113bff5a5d2269ed5ad43b0592e9a14,2.13.0+cu126,12.6,0.39.0,NVIDIA GeForce RTX 4060 Laptop GPU,float16,DPMSolverMultistepScheduler,P2-geo,85ea0319cf2a6b0219702873d88f21092ac7334553e56c13c7603daec34b4660,322eba37a8cc00f3465f0420c556f351054c86b0fe77297c0e50f65cb6b7b494,2026,512,512,30,7.5,0,True,False,pipeline default,7.946,4.037,2675.38,3246.0,4359.5,2666.66,fe73e9ca27613198a8142cfc06ac07e5b90f77dbfeab465ca63354a9c9865d5a,ok,,,outputs/EXP-002/EXP-002__sd15__A__P2-geo__512x512__seed2026__st30__cfg7p5__tier0.png
EXP-002,A,2026-07-30T00:26:34+00:00,stable-diffusion-v1-5/stable-diffusion-v1-5,451f4fe16113bff5a5d2269ed5ad43b0592e9a14,2.13.0+cu126,12.6,0.39.0,NVIDIA GeForce RTX 4060 Laptop GPU,float16,DPMSolverMultistepScheduler,P3-ukiyo,9c8648d75ada09e507fe921445f19ba7a2bce1905c95cf28f8f8be00fa577a96,322eba37a8cc00f3465f0420c556f351054c86b0fe77297c0e50f65cb6b7b494,42,512,512,30,7.5,0,True,False,pipeline default,7.946,4.049,2675.38,3246.0,4359.5,2666.68,7f65ab15a171c3cc8e99e8bb96de32af3420082b194727e84101616fd9e8c41c,ok,,,outputs/EXP-002/EXP-002__sd15__A__P3-ukiyo__512x512__seed42__st30__cfg7p5__tier0.png
EXP-002,A,2026-07-30T00:26:38+00:00,stable-diffusion-v1-5/stable-diffusion-v1-5,451f4fe16113bff5a5d2269ed5ad43b0592e9a14,2.13.0+cu126,12.6,0.39.0,NVIDIA GeForce RTX 4060 Laptop GPU,float16,DPMSolverMultistepScheduler,P3-ukiyo,9c8648d75ada09e507fe921445f19ba7a2bce1905c95cf28f8f8be00fa577a96,322eba37a8cc00f3465f0420c556f351054c86b0fe77297c0e50f65cb6b7b494,1337,512,512,30,7.5,0,True,False,pipeline default,7.946,4.079,2675.38,3246.0,4359.5,2666.77,e3a150b2f5ad2b98c7bb27c0b5686a2bd2890b1fff8e75437324c0700b856b68,ok,,,outputs/EXP-002/EXP-002__sd15__A__P3-ukiyo__512x512__seed1337__st30__cfg7p5__tier0.png
EXP-002,A,2026-07-30T00:26:42+00:00,stable-diffusion-v1-5/stable-diffusion-v1-5,451f4fe16113bff5a5d2269ed5ad43b0592e9a14,2.13.0+cu126,12.6,0.39.0,NVIDIA GeForce RTX 4060 Laptop GPU,float16,DPMSolverMultistepScheduler,P3-ukiyo,9c8648d75ada09e507fe921445f19ba7a2bce1905c95cf28f8f8be00fa577a96,322eba37a8cc00f3465f0420c556f351054c86b0fe77297c0e50f65cb6b7b494,2026,512,512,30,7.5,0,True,False,pipeline default,7.946,4.069,2675.38,3246.0,4359.5,2666.86,b9f0ce46bea516e1445c19d5c299848347e7cf3ae822299c98de56435b8eab88,ok,,,outputs/EXP-002/EXP-002__sd15__A__P3-ukiyo__512x512__seed2026__st30__cfg7p5__tier0.png
EXP-002,A,2026-07-30T00:26:46+00:00,stable-diffusion-v1-5/stable-diffusion-v1-5,451f4fe16113bff5a5d2269ed5ad43b0592e9a14,2.13.0+cu126,12.6,0.39.0,NVIDIA GeForce RTX 4060 Laptop GPU,float16,DPMSolverMultistepScheduler,P4-deck,bfd72ef751983f8a267f571a92badb946d8eb238b3cdc44f547d63b5a30bc19c,322eba37a8cc00f3465f0420c556f351054c86b0fe77297c0e50f65cb6b7b494,42,512,512,30,7.5,0,True,False,pipeline default,7.946,4.089,2675.38,3246.0,4359.5,2666.81,508187805990d2bea40bf46555743729be8a5a33e2d957a89ec4fe87a72f50fd,ok,,,outputs/EXP-002/EXP-002__sd15__A__P4-deck__512x512__seed42__st30__cfg7p5__tier0.png
EXP-002,A,2026-07-30T00:26:50+00:00,stable-diffusion-v1-5/stable-diffusion-v1-5,451f4fe16113bff5a5d2269ed5ad43b0592e9a14,2.13.0+cu126,12.6,0.39.0,NVIDIA GeForce RTX 4060 Laptop GPU,float16,DPMSolverMultistepScheduler,P4-deck,bfd72ef751983f8a267f571a92badb946d8eb238b3cdc44f547d63b5a30bc19c,322eba37a8cc00f3465f0420c556f351054c86b0fe77297c0e50f65cb6b7b494,1337,512,512,30,7.5,0,True,False,pipeline default,7.946,4.355,2675.38,3246.0,4359.5,2666.82,8c12c88af5d948a08b52795b0ba0426732e19143e0ecfaf95d08438dd3ecda81,ok,,,outputs/EXP-002/EXP-002__sd15__A__P4-deck__512x512__seed1337__st30__cfg7p5__tier0.png
EXP-002,A,2026-07-30T00:26:56+00:00,stable-diffusion-v1-5/stable-diffusion-v1-5,451f4fe16113bff5a5d2269ed5ad43b0592e9a14,2.13.0+cu126,12.6,0.39.0,NVIDIA GeForce RTX 4060 Laptop GPU,float16,DPMSolverMultistepScheduler,P4-deck,bfd72ef751983f8a267f571a92badb946d8eb238b3cdc44f547d63b5a30bc19c,322eba37a8cc00f3465f0420c556f351054c86b0fe77297c0e50f65cb6b7b494,2026,512,512,30,7.5,0,True,False,pipeline default,7.946,5.169,2675.38,3246.0,4359.5,2666.91,f9a56e953419233e13c794317f23c7b6b0eb16684d3727c3797f9e6e20b8125f,ok,,,outputs/EXP-002/EXP-002__sd15__A__P4-deck__512x512__seed2026__st30__cfg7p5__tier0.png
EXP-002,A,2026-07-30T00:27:01+00:00,stable-diffusion-v1-5/stable-diffusion-v1-5,451f4fe16113bff5a5d2269ed5ad43b0592e9a14,2.13.0+cu126,12.6,0.39.0,NVIDIA GeForce RTX 4060 Laptop GPU,float16,DPMSolverMultistepScheduler,P5-control,215d27d501f0f9c483c0502e100ed8c64277f2a50dff17a7f2eb499a5cce1c33,322eba37a8cc00f3465f0420c556f351054c86b0fe77297c0e50f65cb6b7b494,42,512,512,30,7.5,0,True,False,pipeline default,7.946,4.708,2675.38,3246.0,4359.5,2667.05,8eeb2427221958a5bf19c191965f55ea6a835c9a6541710b28a00d9ad26ae8e6,ok,,,outputs/EXP-002/EXP-002__sd15__A__P5-control__512x512__seed42__st30__cfg7p5__tier0.png
EXP-002,A,2026-07-30T00:27:05+00:00,stable-diffusion-v1-5/stable-diffusion-v1-5,451f4fe16113bff5a5d2269ed5ad43b0592e9a14,2.13.0+cu126,12.6,0.39.0,NVIDIA GeForce RTX 4060 Laptop GPU,float16,DPMSolverMultistepScheduler,P5-control,215d27d501f0f9c483c0502e100ed8c64277f2a50dff17a7f2eb499a5cce1c33,322eba37a8cc00f3465f0420c556f351054c86b0fe77297c0e50f65cb6b7b494,1337,512,512,30,7.5,0,True,False,pipeline default,7.946,4.338,2675.38,3246.0,4359.5,2667.06,960bea2e9ef147b4abb786902ed5ad7d01e49aec2f6d8040680f7f9b36e79172,ok,,,outputs/EXP-002/EXP-002__sd15__A__P5-control__512x512__seed1337__st30__cfg7p5__tier0.png
EXP-002,A,2026-07-30T00:27:10+00:00,stable-diffusion-v1-5/stable-diffusion-v1-5,451f4fe16113bff5a5d2269ed5ad43b0592e9a14,2.13.0+cu126,12.6,0.39.0,NVIDIA GeForce RTX 4060 Laptop GPU,float16,DPMSolverMultistepScheduler,P5-control,215d27d501f0f9c483c0502e100ed8c64277f2a50dff17a7f2eb499a5cce1c33,322eba37a8cc00f3465f0420c556f351054c86b0fe77297c0e50f65cb6b7b494,2026,512,512,30,7.5,0,True,False,pipeline default,7.946,5.008,2675.38,3246.0,4359.5,2667.06,ff16bd55a0c3a8be24192a9f306bc2a023d8e4dd7037c677f1b5df14484c0e0d,ok,,,outputs/EXP-002/EXP-002__sd15__A__P5-control__512x512__seed2026__st30__cfg7p5__tier0.png
EXP-002,probe,2026-07-30T00:27:31+00:00,stable-diffusion-v1-5/stable-diffusion-v1-5,451f4fe16113bff5a5d2269ed5ad43b0592e9a14,2.13.0+cu126,12.6,0.39.0,NVIDIA GeForce RTX 4060 Laptop GPU,float16,DPMSolverMultistepScheduler,P1-poster,9c67354e368ec9b9f6e28c25781f08ad6c816ef91f74c3b969ea4591b4c24722,322eba37a8cc00f3465f0420c556f351054c86b0fe77297c0e50f65cb6b7b494,42,512,768,30,7.5,0,True,False,pipeline default,7.72,6.594,2979.33,3864.0,4977.5,2636.68,19af4f41577cf37db70370566873ae0e69908688ff42787d4070a2c2485e6436,ok,,,outputs/EXP-002/EXP-002__sd15__probe__P1-poster__512x768__seed42__st30__cfg7p5__tier0.png
