model,track,resolution,prompt_id,memory_tier,seeds,prompt_adherence,style_consistency,visual_quality,decal_suitability,composition,artefacts,originality,diversity_across_seeds,notes
sdxl-base,A,512x512,P1-poster,0,"42,1337,2026",not individually scored,not individually scored,not individually scored,not individually scored,not individually scored,not individually scored,not individually scored,not individually scored,
sdxl-base,A,512x512,P2-geo,0,"42,1337,2026",not individually scored,not individually scored,not individually scored,not individually scored,not individually scored,not individually scored,not individually scored,not individually scored,
sdxl-base,A,512x512,P3-ukiyo,0,"42,1337,2026",not individually scored,not individually scored,not individually scored,not individually scored,not individually scored,not individually scored,not individually scored,not individually scored,
sdxl-base,A,512x512,P4-deck,0,"42,1337,2026",not individually scored,not individually scored,not individually scored,not individually scored,not individually scored,not individually scored,not individually scored,not individually scored,
sdxl-base,A,512x512,P5-control,0,"42,1337,2026",not individually scored,not individually scored,not individually scored,not individually scored,not individually scored,not individually scored,not individually scored,not individually scored,
sdxl-base,B,1024x1024,P1-poster,0,"42,1337,2026",not individually scored,not individually scored,not individually scored,not individually scored,not individually scored,not individually scored,not individually scored,not individually scored,
sdxl-base,B,1024x1024,P2-geo,0,"42,1337,2026",not individually scored,not individually scored,not individually scored,not individually scored,not individually scored,not individually scored,not individually scored,not individually scored,
sdxl-base,B,1024x1024,P3-ukiyo,0,"42,1337,2026",not individually scored,not individually scored,not individually scored,not individually scored,not individually scored,not individually scored,not individually scored,not individually scored,
sdxl-base,B,1024x1024,P4-deck,0,"42,1337,2026",not individually scored,not individually scored,not individually scored,not individually scored,not individually scored,not individually scored,not individually scored,not individually scored,
sdxl-base,B,1024x1024,P5-control,0,"42,1337,2026",not individually scored,not individually scored,not individually scored,not individually scored,not individually scored,not individually scored,not individually scored,not individually scored,
sd15,A,512x512,P1-poster,0,"42,1337,2026",not individually scored,not individually scored,not individually scored,not individually scored,not individually scored,not individually scored,not individually scored,not individually scored,
sd15,A,512x512,P2-geo,0,"42,1337,2026",not individually scored,not individually scored,not individually scored,not individually scored,not individually scored,not individually scored,not individually scored,not individually scored,
sd15,A,512x512,P3-ukiyo,0,"42,1337,2026",not individually scored,not individually scored,not individually scored,not individually scored,not individually scored,not individually scored,not individually scored,not individually scored,
sd15,A,512x512,P4-deck,0,"42,1337,2026",not individually scored,not individually scored,not individually scored,not individually scored,not individually scored,not individually scored,not individually scored,not individually scored,
sd15,A,512x512,P5-control,0,"42,1337,2026",not individually scored,not individually scored,not individually scored,not individually scored,not individually scored,not individually scored,not individually scored,not individually scored,
sd15,direct-1x1,512x512,P1-poster,0,"42,1337,2026",not individually scored,not individually scored,not individually scored,not individually scored,not individually scored,not individually scored,not individually scored,not individually scored,
sd15,direct-1x1,512x512,P4-deck,0,"42,1337,2026",not individually scored,not individually scored,not individually scored,not individually scored,not individually scored,not individually scored,not individually scored,not individually scored,
sd15,direct-1x2,512x1024,P1-poster,0,"42,1337,2026",not individually scored,not individually scored,not individually scored,not individually scored,not individually scored,not individually scored,not individually scored,not individually scored,
sd15,direct-1x2,512x1024,P4-deck,0,"42,1337,2026",not individually scored,not individually scored,not individually scored,not individually scored,not individually scored,not individually scored,not individually scored,not individually scored,
sd15,direct-1x3,512x1536,P1-poster,0,"42,1337,2026",not individually scored,not individually scored,not individually scored,not individually scored,not individually scored,not individually scored,not individually scored,not individually scored,
sd15,direct-1x3,512x1536,P4-deck,0,"42,1337,2026",not individually scored,not individually scored,not individually scored,not individually scored,not individually scored,not individually scored,not individually scored,not individually scored,
sd15,probe,512x768,P1-poster,0,"42,1337,2026",not individually scored,not individually scored,not individually scored,not individually scored,not individually scored,not individually scored,not individually scored,not individually scored,
sd15,probe,512x768,P2-geo,0,"42,1337,2026",not individually scored,not individually scored,not individually scored,not individually scored,not individually scored,not individually scored,not individually scored,not individually scored,
sd15,probe,512x768,P3-ukiyo,0,"42,1337,2026",not individually scored,not individually scored,not individually scored,not individually scored,not individually scored,not individually scored,not individually scored,not individually scored,
sd15,probe,512x768,P4-deck,0,"42,1337,2026",not individually scored,not individually scored,not individually scored,not individually scored,not individually scored,not individually scored,not individually scored,not individually scored,
sd15,probe,512x768,P5-control,0,"42,1337,2026",not individually scored,not individually scored,not individually scored,not individually scored,not individually scored,not individually scored,not individually scored,not individually scored,
sd15,square-crop,170x512,P1-poster,0,"42,1337,2026",not individually scored,not individually scored,not individually scored,not individually scored,not individually scored,not individually scored,not individually scored,not individually scored,
sd15,square-crop,170x512,P4-deck,0,"42,1337,2026",not individually scored,not individually scored,not individually scored,not individually scored,not individually scored,not individually scored,not individually scored,not individually scored,
