exp_id,condition_id,method,timestamp_utc,model_repo_id,model_revision_sha,method_repo_id,method_revision_sha,image_encoder_revision_sha,torch_version,torch_cuda_version,diffusers_version,gpu_name,dtype,scheduler,prompt_id,prompt_sha256,negative_prompt_sha256,reference_id,reference_sha256,reference_preprocess,reference_retained_area_fraction,influence_level,strength_param_name,strength_value,effective_steps,seed,width,height,steps,guidance_scale,memory_tier,process_config_key,safety_checker_present,safety_checker_enabled,vae_variant,load_seconds,generate_seconds,peak_vram_allocated_mb,peak_vram_reserved_mb,peak_device_used_mb,peak_process_rss_mb,output_sha256,status,error_type,error_message,output_path
EXP-008,C1,img2img,2026-08-01T00:22:14+00:00,stable-diffusion-v1-5/stable-diffusion-v1-5,451f4fe16113bff5a5d2269ed5ad43b0592e9a14,,,,2.13.0+cu126,12.6,0.39.0,NVIDIA GeForce RTX 4060 Laptop GPU,float16,DPMSolverMultistepScheduler,P1-poster,9c67354e368ec9b9f6e28c25781f08ad6c816ef91f74c3b969ea4591b4c24722,322eba37a8cc00f3465f0420c556f351054c86b0fe77297c0e50f65cb6b7b494,R1,515d83fc703f6bec6467aef6ae43b8d8fb7ad283aa65cc9af134dafddec3ef6c,centre-crop 690x1024 -> 690x690 then LANCZOS resize to 512x512,0.6738,weak,strength,0.9,27,42,512,512,30,7.5,0,img2img@512x512@tier0,True,False,pipeline default,10.02,3.074,2675.38,2958.0,4071.5,2194.89,3d0dfa86b6bf6a038390f9fc7c2cb0ebb3e5f8a1f8183407b7d35168470796c1,ok,,,outputs/EXP-008/EXP-008__img2img__C1__R1__weak__s0p9__512x512__seed42__tier0.png
EXP-008,C1,img2img,2026-08-01T00:22:17+00:00,stable-diffusion-v1-5/stable-diffusion-v1-5,451f4fe16113bff5a5d2269ed5ad43b0592e9a14,,,,2.13.0+cu126,12.6,0.39.0,NVIDIA GeForce RTX 4060 Laptop GPU,float16,DPMSolverMultistepScheduler,P1-poster,9c67354e368ec9b9f6e28c25781f08ad6c816ef91f74c3b969ea4591b4c24722,322eba37a8cc00f3465f0420c556f351054c86b0fe77297c0e50f65cb6b7b494,R1,515d83fc703f6bec6467aef6ae43b8d8fb7ad283aa65cc9af134dafddec3ef6c,centre-crop 690x1024 -> 690x690 then LANCZOS resize to 512x512,0.6738,weak,strength,0.9,27,1337,512,512,30,7.5,0,img2img@512x512@tier0,True,False,pipeline default,10.02,3.046,2675.38,2958.0,4071.5,2192.98,006743f8042c246f9742dd6548824cc335e77fe498832defd7619aec059cfb18,ok,,,outputs/EXP-008/EXP-008__img2img__C1__R1__weak__s0p9__512x512__seed1337__tier0.png
EXP-008,C1,img2img,2026-08-01T00:22:20+00:00,stable-diffusion-v1-5/stable-diffusion-v1-5,451f4fe16113bff5a5d2269ed5ad43b0592e9a14,,,,2.13.0+cu126,12.6,0.39.0,NVIDIA GeForce RTX 4060 Laptop GPU,float16,DPMSolverMultistepScheduler,P1-poster,9c67354e368ec9b9f6e28c25781f08ad6c816ef91f74c3b969ea4591b4c24722,322eba37a8cc00f3465f0420c556f351054c86b0fe77297c0e50f65cb6b7b494,R1,515d83fc703f6bec6467aef6ae43b8d8fb7ad283aa65cc9af134dafddec3ef6c,centre-crop 690x1024 -> 690x690 then LANCZOS resize to 512x512,0.6738,weak,strength,0.9,27,2026,512,512,30,7.5,0,img2img@512x512@tier0,True,False,pipeline default,10.02,3.0,2675.38,2958.0,4071.5,2192.99,6c4e365839639b9d611ee7b7b1c251b83daf6536a8164b29af6e92a451847d36,ok,,,outputs/EXP-008/EXP-008__img2img__C1__R1__weak__s0p9__512x512__seed2026__tier0.png
EXP-008,C2,img2img,2026-08-01T00:22:23+00:00,stable-diffusion-v1-5/stable-diffusion-v1-5,451f4fe16113bff5a5d2269ed5ad43b0592e9a14,,,,2.13.0+cu126,12.6,0.39.0,NVIDIA GeForce RTX 4060 Laptop GPU,float16,DPMSolverMultistepScheduler,P2-geo,85ea0319cf2a6b0219702873d88f21092ac7334553e56c13c7603daec34b4660,322eba37a8cc00f3465f0420c556f351054c86b0fe77297c0e50f65cb6b7b494,R2,af49e3fb28a0582b9b651253dbdcb6b05822015e1936a4042fa6c041409d6c50,centre-crop 512x1536 -> 512x512 then LANCZOS resize to 512x512,0.3333,weak,strength,0.9,27,42,512,512,30,7.5,0,img2img@512x512@tier0,True,False,pipeline default,10.02,3.022,2675.38,2958.0,4071.5,2193.05,e64dd8e542fb97b90c95dae1f288a3c3dccb95b612cc34950b98f3df78a40221,ok,,,outputs/EXP-008/EXP-008__img2img__C2__R2__weak__s0p9__512x512__seed42__tier0.png
EXP-008,C2,img2img,2026-08-01T00:22:26+00:00,stable-diffusion-v1-5/stable-diffusion-v1-5,451f4fe16113bff5a5d2269ed5ad43b0592e9a14,,,,2.13.0+cu126,12.6,0.39.0,NVIDIA GeForce RTX 4060 Laptop GPU,float16,DPMSolverMultistepScheduler,P2-geo,85ea0319cf2a6b0219702873d88f21092ac7334553e56c13c7603daec34b4660,322eba37a8cc00f3465f0420c556f351054c86b0fe77297c0e50f65cb6b7b494,R2,af49e3fb28a0582b9b651253dbdcb6b05822015e1936a4042fa6c041409d6c50,centre-crop 512x1536 -> 512x512 then LANCZOS resize to 512x512,0.3333,weak,strength,0.9,27,1337,512,512,30,7.5,0,img2img@512x512@tier0,True,False,pipeline default,10.02,2.99,2675.38,2958.0,4071.5,2193.14,5b2c83b76c706d4b84f21ed6995d09c315161f82ce7615c7d1c1f91faf1d5cee,ok,,,outputs/EXP-008/EXP-008__img2img__C2__R2__weak__s0p9__512x512__seed1337__tier0.png
EXP-008,C2,img2img,2026-08-01T00:22:30+00:00,stable-diffusion-v1-5/stable-diffusion-v1-5,451f4fe16113bff5a5d2269ed5ad43b0592e9a14,,,,2.13.0+cu126,12.6,0.39.0,NVIDIA GeForce RTX 4060 Laptop GPU,float16,DPMSolverMultistepScheduler,P2-geo,85ea0319cf2a6b0219702873d88f21092ac7334553e56c13c7603daec34b4660,322eba37a8cc00f3465f0420c556f351054c86b0fe77297c0e50f65cb6b7b494,R2,af49e3fb28a0582b9b651253dbdcb6b05822015e1936a4042fa6c041409d6c50,centre-crop 512x1536 -> 512x512 then LANCZOS resize to 512x512,0.3333,weak,strength,0.9,27,2026,512,512,30,7.5,0,img2img@512x512@tier0,True,False,pipeline default,10.02,3.004,2675.38,2958.0,4071.5,2193.16,a87dbbb1ffc22e552f433f6d3a71b4a64afd933d34492c9fd72f9055fc668e62,ok,,,outputs/EXP-008/EXP-008__img2img__C2__R2__weak__s0p9__512x512__seed2026__tier0.png
EXP-008,C3,img2img,2026-08-01T00:22:33+00:00,stable-diffusion-v1-5/stable-diffusion-v1-5,451f4fe16113bff5a5d2269ed5ad43b0592e9a14,,,,2.13.0+cu126,12.6,0.39.0,NVIDIA GeForce RTX 4060 Laptop GPU,float16,DPMSolverMultistepScheduler,P3-ukiyo,9c8648d75ada09e507fe921445f19ba7a2bce1905c95cf28f8f8be00fa577a96,322eba37a8cc00f3465f0420c556f351054c86b0fe77297c0e50f65cb6b7b494,R3,cfbc213f291a0408e2cc51d051929d3a09abd100fc3c1b451b640ab7da2f83ec,centre-crop 4000x2980 -> 2980x2980 then LANCZOS resize to 512x512,0.745,weak,strength,0.9,27,42,512,512,30,7.5,0,img2img@512x512@tier0,True,False,pipeline default,10.02,3.002,2675.38,2958.0,4071.5,2193.18,7ca8f37afcfabd640e51a5d172d00efe3b6389f3241a8d0353f8b245df48aa29,ok,,,outputs/EXP-008/EXP-008__img2img__C3__R3__weak__s0p9__512x512__seed42__tier0.png
EXP-008,C3,img2img,2026-08-01T00:22:36+00:00,stable-diffusion-v1-5/stable-diffusion-v1-5,451f4fe16113bff5a5d2269ed5ad43b0592e9a14,,,,2.13.0+cu126,12.6,0.39.0,NVIDIA GeForce RTX 4060 Laptop GPU,float16,DPMSolverMultistepScheduler,P3-ukiyo,9c8648d75ada09e507fe921445f19ba7a2bce1905c95cf28f8f8be00fa577a96,322eba37a8cc00f3465f0420c556f351054c86b0fe77297c0e50f65cb6b7b494,R3,cfbc213f291a0408e2cc51d051929d3a09abd100fc3c1b451b640ab7da2f83ec,centre-crop 4000x2980 -> 2980x2980 then LANCZOS resize to 512x512,0.745,weak,strength,0.9,27,1337,512,512,30,7.5,0,img2img@512x512@tier0,True,False,pipeline default,10.02,3.01,2675.38,2958.0,4071.5,2193.19,f3077385940ccc85eb36286689214555815a425370dd1db6bd4a61f9b54f9bd1,ok,,,outputs/EXP-008/EXP-008__img2img__C3__R3__weak__s0p9__512x512__seed1337__tier0.png
EXP-008,C3,img2img,2026-08-01T00:22:39+00:00,stable-diffusion-v1-5/stable-diffusion-v1-5,451f4fe16113bff5a5d2269ed5ad43b0592e9a14,,,,2.13.0+cu126,12.6,0.39.0,NVIDIA GeForce RTX 4060 Laptop GPU,float16,DPMSolverMultistepScheduler,P3-ukiyo,9c8648d75ada09e507fe921445f19ba7a2bce1905c95cf28f8f8be00fa577a96,322eba37a8cc00f3465f0420c556f351054c86b0fe77297c0e50f65cb6b7b494,R3,cfbc213f291a0408e2cc51d051929d3a09abd100fc3c1b451b640ab7da2f83ec,centre-crop 4000x2980 -> 2980x2980 then LANCZOS resize to 512x512,0.745,weak,strength,0.9,27,2026,512,512,30,7.5,0,img2img@512x512@tier0,True,False,pipeline default,10.02,3.021,2675.38,2958.0,4071.5,2193.21,8cc73bbb34c0a425a2e3a64156a76616c6cc41da20f5bd2869e0fb9de8bbfcf7,ok,,,outputs/EXP-008/EXP-008__img2img__C3__R3__weak__s0p9__512x512__seed2026__tier0.png
EXP-008,C4,img2img,2026-08-01T00:22:42+00:00,stable-diffusion-v1-5/stable-diffusion-v1-5,451f4fe16113bff5a5d2269ed5ad43b0592e9a14,,,,2.13.0+cu126,12.6,0.39.0,NVIDIA GeForce RTX 4060 Laptop GPU,float16,DPMSolverMultistepScheduler,P4-deck,bfd72ef751983f8a267f571a92badb946d8eb238b3cdc44f547d63b5a30bc19c,322eba37a8cc00f3465f0420c556f351054c86b0fe77297c0e50f65cb6b7b494,R4,45475315cf149fc37e17301190d8a87c72640a8e9d466534ea226413a51741d0,centre-crop 512x1536 -> 512x512 then LANCZOS resize to 512x512,0.3333,weak,strength,0.9,27,42,512,512,30,7.5,0,img2img@512x512@tier0,True,False,pipeline default,10.02,3.056,2675.38,2958.0,4071.5,2191.72,aa45694533ea38fbac978107af6cb2403cc5187a41d0b209212be99d1691369a,ok,,,outputs/EXP-008/EXP-008__img2img__C4__R4__weak__s0p9__512x512__seed42__tier0.png
