exp_id,condition_id,method,timestamp_utc,model_repo_id,model_revision_sha,method_repo_id,method_revision_sha,image_encoder_revision_sha,torch_version,torch_cuda_version,diffusers_version,gpu_name,dtype,scheduler,prompt_id,prompt_sha256,negative_prompt_sha256,reference_id,reference_sha256,reference_preprocess,reference_retained_area_fraction,influence_level,strength_param_name,strength_value,effective_steps,seed,width,height,steps,guidance_scale,memory_tier,process_config_key,safety_checker_present,safety_checker_enabled,vae_variant,load_seconds,generate_seconds,peak_vram_allocated_mb,peak_vram_reserved_mb,peak_device_used_mb,peak_process_rss_mb,output_sha256,status,error_type,error_message,output_path
EXP-010,C1,ip-adapter,2026-08-01T00:49:48+00:00,stable-diffusion-v1-5/stable-diffusion-v1-5,451f4fe16113bff5a5d2269ed5ad43b0592e9a14,h94/IP-Adapter,018e402774aeeddd60609b4ecdb7e298259dc729,018e402774aeeddd60609b4ecdb7e298259dc729,2.13.0+cu126,12.6,0.39.0,NVIDIA GeForce RTX 4060 Laptop GPU,float16,DPMSolverMultistepScheduler,P1-poster,9c67354e368ec9b9f6e28c25781f08ad6c816ef91f74c3b969ea4591b4c24722,322eba37a8cc00f3465f0420c556f351054c86b0fe77297c0e50f65cb6b7b494,R1,515d83fc703f6bec6467aef6ae43b8d8fb7ad283aa65cc9af134dafddec3ef6c,native size 690x1024; CLIP processor resize + centre-crop 224,1.0,none,scale,0.0,30,42,512,512,30,7.5,0,ip-adapter@512x512@tier0,True,False,pipeline default,13.421,3.338,3924.07,4582.0,5695.5,3067.75,cee27050f45b5ab6bbbdad05dc9f2146b202377e64261840d553b1c61fe9c5af,ok,,,outputs/EXP-010/EXP-010__ip-adapter__C1__R1__none__s0__512x512__seed42__tier0.png
EXP-010,C1,ip-adapter,2026-08-01T00:49:51+00:00,stable-diffusion-v1-5/stable-diffusion-v1-5,451f4fe16113bff5a5d2269ed5ad43b0592e9a14,h94/IP-Adapter,018e402774aeeddd60609b4ecdb7e298259dc729,018e402774aeeddd60609b4ecdb7e298259dc729,2.13.0+cu126,12.6,0.39.0,NVIDIA GeForce RTX 4060 Laptop GPU,float16,DPMSolverMultistepScheduler,P1-poster,9c67354e368ec9b9f6e28c25781f08ad6c816ef91f74c3b969ea4591b4c24722,322eba37a8cc00f3465f0420c556f351054c86b0fe77297c0e50f65cb6b7b494,R1,515d83fc703f6bec6467aef6ae43b8d8fb7ad283aa65cc9af134dafddec3ef6c,native size 690x1024; CLIP processor resize + centre-crop 224,1.0,none,scale,0.0,30,1337,512,512,30,7.5,0,ip-adapter@512x512@tier0,True,False,pipeline default,13.421,3.405,3924.07,4582.0,5695.5,3065.8,3700558a0617e3ae6235dda874ffe35bd4bcd283453906119e5b8e142a611dda,ok,,,outputs/EXP-010/EXP-010__ip-adapter__C1__R1__none__s0__512x512__seed1337__tier0.png
EXP-010,C1,ip-adapter,2026-08-01T00:49:54+00:00,stable-diffusion-v1-5/stable-diffusion-v1-5,451f4fe16113bff5a5d2269ed5ad43b0592e9a14,h94/IP-Adapter,018e402774aeeddd60609b4ecdb7e298259dc729,018e402774aeeddd60609b4ecdb7e298259dc729,2.13.0+cu126,12.6,0.39.0,NVIDIA GeForce RTX 4060 Laptop GPU,float16,DPMSolverMultistepScheduler,P1-poster,9c67354e368ec9b9f6e28c25781f08ad6c816ef91f74c3b969ea4591b4c24722,322eba37a8cc00f3465f0420c556f351054c86b0fe77297c0e50f65cb6b7b494,R1,515d83fc703f6bec6467aef6ae43b8d8fb7ad283aa65cc9af134dafddec3ef6c,native size 690x1024; CLIP processor resize + centre-crop 224,1.0,none,scale,0.0,30,2026,512,512,30,7.5,0,ip-adapter@512x512@tier0,True,False,pipeline default,13.421,3.349,3924.07,4582.0,5695.5,3066.22,bdd8c131c8b17a9d414139aae0e5853a8edd372ca82b13f6a38fe699ec1bce7e,ok,,,outputs/EXP-010/EXP-010__ip-adapter__C1__R1__none__s0__512x512__seed2026__tier0.png
EXP-010,C2,ip-adapter,2026-08-01T00:49:58+00:00,stable-diffusion-v1-5/stable-diffusion-v1-5,451f4fe16113bff5a5d2269ed5ad43b0592e9a14,h94/IP-Adapter,018e402774aeeddd60609b4ecdb7e298259dc729,018e402774aeeddd60609b4ecdb7e298259dc729,2.13.0+cu126,12.6,0.39.0,NVIDIA GeForce RTX 4060 Laptop GPU,float16,DPMSolverMultistepScheduler,P2-geo,85ea0319cf2a6b0219702873d88f21092ac7334553e56c13c7603daec34b4660,322eba37a8cc00f3465f0420c556f351054c86b0fe77297c0e50f65cb6b7b494,R2,af49e3fb28a0582b9b651253dbdcb6b05822015e1936a4042fa6c041409d6c50,long side bounded 512x1536 -> 341x1024 (LANCZOS); CLIP processor resize + centre-crop 224,1.0,none,scale,0.0,30,42,512,512,30,7.5,0,ip-adapter@512x512@tier0,True,False,pipeline default,13.421,3.367,3924.07,4582.0,5695.5,3063.88,f003da95ec7cb6460fa5444ad8ab78155a524cb93392ef0f3c4d5b2150a3b9cc,ok,,,outputs/EXP-010/EXP-010__ip-adapter__C2__R2__none__s0__512x512__seed42__tier0.png
EXP-010,C2,ip-adapter,2026-08-01T00:50:01+00:00,stable-diffusion-v1-5/stable-diffusion-v1-5,451f4fe16113bff5a5d2269ed5ad43b0592e9a14,h94/IP-Adapter,018e402774aeeddd60609b4ecdb7e298259dc729,018e402774aeeddd60609b4ecdb7e298259dc729,2.13.0+cu126,12.6,0.39.0,NVIDIA GeForce RTX 4060 Laptop GPU,float16,DPMSolverMultistepScheduler,P2-geo,85ea0319cf2a6b0219702873d88f21092ac7334553e56c13c7603daec34b4660,322eba37a8cc00f3465f0420c556f351054c86b0fe77297c0e50f65cb6b7b494,R2,af49e3fb28a0582b9b651253dbdcb6b05822015e1936a4042fa6c041409d6c50,long side bounded 512x1536 -> 341x1024 (LANCZOS); CLIP processor resize + centre-crop 224,1.0,none,scale,0.0,30,1337,512,512,30,7.5,0,ip-adapter@512x512@tier0,True,False,pipeline default,13.421,3.396,3924.07,4582.0,5695.5,3049.22,1ff00b4e4febfc9bc48c70573a80f1ab8edf8b751960fae274be497030b38f5b,ok,,,outputs/EXP-010/EXP-010__ip-adapter__C2__R2__none__s0__512x512__seed1337__tier0.png
EXP-010,C2,ip-adapter,2026-08-01T00:50:05+00:00,stable-diffusion-v1-5/stable-diffusion-v1-5,451f4fe16113bff5a5d2269ed5ad43b0592e9a14,h94/IP-Adapter,018e402774aeeddd60609b4ecdb7e298259dc729,018e402774aeeddd60609b4ecdb7e298259dc729,2.13.0+cu126,12.6,0.39.0,NVIDIA GeForce RTX 4060 Laptop GPU,float16,DPMSolverMultistepScheduler,P2-geo,85ea0319cf2a6b0219702873d88f21092ac7334553e56c13c7603daec34b4660,322eba37a8cc00f3465f0420c556f351054c86b0fe77297c0e50f65cb6b7b494,R2,af49e3fb28a0582b9b651253dbdcb6b05822015e1936a4042fa6c041409d6c50,long side bounded 512x1536 -> 341x1024 (LANCZOS); CLIP processor resize + centre-crop 224,1.0,none,scale,0.0,30,2026,512,512,30,7.5,0,ip-adapter@512x512@tier0,True,False,pipeline default,13.421,3.432,3924.07,4582.0,5695.5,3049.34,fe73e9ca27613198a8142cfc06ac07e5b90f77dbfeab465ca63354a9c9865d5a,ok,,,outputs/EXP-010/EXP-010__ip-adapter__C2__R2__none__s0__512x512__seed2026__tier0.png
EXP-010,C3,ip-adapter,2026-08-01T00:50:08+00:00,stable-diffusion-v1-5/stable-diffusion-v1-5,451f4fe16113bff5a5d2269ed5ad43b0592e9a14,h94/IP-Adapter,018e402774aeeddd60609b4ecdb7e298259dc729,018e402774aeeddd60609b4ecdb7e298259dc729,2.13.0+cu126,12.6,0.39.0,NVIDIA GeForce RTX 4060 Laptop GPU,float16,DPMSolverMultistepScheduler,P3-ukiyo,9c8648d75ada09e507fe921445f19ba7a2bce1905c95cf28f8f8be00fa577a96,322eba37a8cc00f3465f0420c556f351054c86b0fe77297c0e50f65cb6b7b494,R3,cfbc213f291a0408e2cc51d051929d3a09abd100fc3c1b451b640ab7da2f83ec,long side bounded 4000x2980 -> 1024x763 (LANCZOS); CLIP processor resize + centre-crop 224,1.0,none,scale,0.0,30,42,512,512,30,7.5,0,ip-adapter@512x512@tier0,True,False,pipeline default,13.421,3.432,3924.07,4582.0,5695.5,3051.18,7f65ab15a171c3cc8e99e8bb96de32af3420082b194727e84101616fd9e8c41c,ok,,,outputs/EXP-010/EXP-010__ip-adapter__C3__R3__none__s0__512x512__seed42__tier0.png
EXP-010,C3,ip-adapter,2026-08-01T00:50:12+00:00,stable-diffusion-v1-5/stable-diffusion-v1-5,451f4fe16113bff5a5d2269ed5ad43b0592e9a14,h94/IP-Adapter,018e402774aeeddd60609b4ecdb7e298259dc729,018e402774aeeddd60609b4ecdb7e298259dc729,2.13.0+cu126,12.6,0.39.0,NVIDIA GeForce RTX 4060 Laptop GPU,float16,DPMSolverMultistepScheduler,P3-ukiyo,9c8648d75ada09e507fe921445f19ba7a2bce1905c95cf28f8f8be00fa577a96,322eba37a8cc00f3465f0420c556f351054c86b0fe77297c0e50f65cb6b7b494,R3,cfbc213f291a0408e2cc51d051929d3a09abd100fc3c1b451b640ab7da2f83ec,long side bounded 4000x2980 -> 1024x763 (LANCZOS); CLIP processor resize + centre-crop 224,1.0,none,scale,0.0,30,1337,512,512,30,7.5,0,ip-adapter@512x512@tier0,True,False,pipeline default,13.421,3.384,3924.07,4582.0,5695.5,3051.31,e3a150b2f5ad2b98c7bb27c0b5686a2bd2890b1fff8e75437324c0700b856b68,ok,,,outputs/EXP-010/EXP-010__ip-adapter__C3__R3__none__s0__512x512__seed1337__tier0.png
EXP-010,C3,ip-adapter,2026-08-01T00:50:15+00:00,stable-diffusion-v1-5/stable-diffusion-v1-5,451f4fe16113bff5a5d2269ed5ad43b0592e9a14,h94/IP-Adapter,018e402774aeeddd60609b4ecdb7e298259dc729,018e402774aeeddd60609b4ecdb7e298259dc729,2.13.0+cu126,12.6,0.39.0,NVIDIA GeForce RTX 4060 Laptop GPU,float16,DPMSolverMultistepScheduler,P3-ukiyo,9c8648d75ada09e507fe921445f19ba7a2bce1905c95cf28f8f8be00fa577a96,322eba37a8cc00f3465f0420c556f351054c86b0fe77297c0e50f65cb6b7b494,R3,cfbc213f291a0408e2cc51d051929d3a09abd100fc3c1b451b640ab7da2f83ec,long side bounded 4000x2980 -> 1024x763 (LANCZOS); CLIP processor resize + centre-crop 224,1.0,none,scale,0.0,30,2026,512,512,30,7.5,0,ip-adapter@512x512@tier0,True,False,pipeline default,13.421,3.407,3924.07,4582.0,5695.5,3051.41,b9f0ce46bea516e1445c19d5c299848347e7cf3ae822299c98de56435b8eab88,ok,,,outputs/EXP-010/EXP-010__ip-adapter__C3__R3__none__s0__512x512__seed2026__tier0.png
EXP-010,C4,ip-adapter,2026-08-01T00:50:19+00:00,stable-diffusion-v1-5/stable-diffusion-v1-5,451f4fe16113bff5a5d2269ed5ad43b0592e9a14,h94/IP-Adapter,018e402774aeeddd60609b4ecdb7e298259dc729,018e402774aeeddd60609b4ecdb7e298259dc729,2.13.0+cu126,12.6,0.39.0,NVIDIA GeForce RTX 4060 Laptop GPU,float16,DPMSolverMultistepScheduler,P4-deck,bfd72ef751983f8a267f571a92badb946d8eb238b3cdc44f547d63b5a30bc19c,322eba37a8cc00f3465f0420c556f351054c86b0fe77297c0e50f65cb6b7b494,R4,45475315cf149fc37e17301190d8a87c72640a8e9d466534ea226413a51741d0,long side bounded 512x1536 -> 341x1024 (LANCZOS); CLIP processor resize + centre-crop 224,1.0,none,scale,0.0,30,42,512,512,30,7.5,0,ip-adapter@512x512@tier0,True,False,pipeline default,13.421,3.428,3924.07,4582.0,5695.5,3051.21,508187805990d2bea40bf46555743729be8a5a33e2d957a89ec4fe87a72f50fd,ok,,,outputs/EXP-010/EXP-010__ip-adapter__C4__R4__none__s0__512x512__seed42__tier0.png
