exp_id,condition_id,method,timestamp_utc,model_repo_id,model_revision_sha,method_repo_id,method_revision_sha,image_encoder_revision_sha,torch_version,torch_cuda_version,diffusers_version,gpu_name,dtype,scheduler,prompt_id,prompt_sha256,negative_prompt_sha256,reference_id,reference_sha256,reference_preprocess,reference_retained_area_fraction,influence_level,strength_param_name,strength_value,effective_steps,seed,width,height,steps,guidance_scale,memory_tier,process_config_key,safety_checker_present,safety_checker_enabled,vae_variant,load_seconds,generate_seconds,peak_vram_allocated_mb,peak_vram_reserved_mb,peak_device_used_mb,peak_process_rss_mb,output_sha256,status,error_type,error_message,output_path
EXP-010,C1,text-only,2026-08-01T00:48:44+00:00,stable-diffusion-v1-5/stable-diffusion-v1-5,451f4fe16113bff5a5d2269ed5ad43b0592e9a14,,,,2.13.0+cu126,12.6,0.39.0,NVIDIA GeForce RTX 4060 Laptop GPU,float16,DPMSolverMultistepScheduler,P1-poster,9c67354e368ec9b9f6e28c25781f08ad6c816ef91f74c3b969ea4591b4c24722,322eba37a8cc00f3465f0420c556f351054c86b0fe77297c0e50f65cb6b7b494,,,not applicable - no reference used,,none,,,30,42,512,512,30,7.5,0,text-only@512x512@tier0,True,False,pipeline default,10.744,3.228,2675.38,3246.0,4359.5,2473.12,cee27050f45b5ab6bbbdad05dc9f2146b202377e64261840d553b1c61fe9c5af,ok,,,outputs/EXP-010/EXP-010__text-only__C1__R1__none__sna__512x512__seed42__tier0.png
EXP-010,C1,text-only,2026-08-01T00:48:47+00:00,stable-diffusion-v1-5/stable-diffusion-v1-5,451f4fe16113bff5a5d2269ed5ad43b0592e9a14,,,,2.13.0+cu126,12.6,0.39.0,NVIDIA GeForce RTX 4060 Laptop GPU,float16,DPMSolverMultistepScheduler,P1-poster,9c67354e368ec9b9f6e28c25781f08ad6c816ef91f74c3b969ea4591b4c24722,322eba37a8cc00f3465f0420c556f351054c86b0fe77297c0e50f65cb6b7b494,,,not applicable - no reference used,,none,,,30,1337,512,512,30,7.5,0,text-only@512x512@tier0,True,False,pipeline default,10.744,3.236,2675.38,3246.0,4359.5,2472.51,3700558a0617e3ae6235dda874ffe35bd4bcd283453906119e5b8e142a611dda,ok,,,outputs/EXP-010/EXP-010__text-only__C1__R1__none__sna__512x512__seed1337__tier0.png
EXP-010,C1,text-only,2026-08-01T00:48:50+00:00,stable-diffusion-v1-5/stable-diffusion-v1-5,451f4fe16113bff5a5d2269ed5ad43b0592e9a14,,,,2.13.0+cu126,12.6,0.39.0,NVIDIA GeForce RTX 4060 Laptop GPU,float16,DPMSolverMultistepScheduler,P1-poster,9c67354e368ec9b9f6e28c25781f08ad6c816ef91f74c3b969ea4591b4c24722,322eba37a8cc00f3465f0420c556f351054c86b0fe77297c0e50f65cb6b7b494,,,not applicable - no reference used,,none,,,30,2026,512,512,30,7.5,0,text-only@512x512@tier0,True,False,pipeline default,10.744,3.251,2675.38,3246.0,4359.5,2472.59,bdd8c131c8b17a9d414139aae0e5853a8edd372ca82b13f6a38fe699ec1bce7e,ok,,,outputs/EXP-010/EXP-010__text-only__C1__R1__none__sna__512x512__seed2026__tier0.png
EXP-010,C2,text-only,2026-08-01T00:48:54+00:00,stable-diffusion-v1-5/stable-diffusion-v1-5,451f4fe16113bff5a5d2269ed5ad43b0592e9a14,,,,2.13.0+cu126,12.6,0.39.0,NVIDIA GeForce RTX 4060 Laptop GPU,float16,DPMSolverMultistepScheduler,P2-geo,85ea0319cf2a6b0219702873d88f21092ac7334553e56c13c7603daec34b4660,322eba37a8cc00f3465f0420c556f351054c86b0fe77297c0e50f65cb6b7b494,,,not applicable - no reference used,,none,,,30,42,512,512,30,7.5,0,text-only@512x512@tier0,True,False,pipeline default,10.744,3.225,2675.38,3246.0,4359.5,2472.78,f003da95ec7cb6460fa5444ad8ab78155a524cb93392ef0f3c4d5b2150a3b9cc,ok,,,outputs/EXP-010/EXP-010__text-only__C2__R2__none__sna__512x512__seed42__tier0.png
EXP-010,C2,text-only,2026-08-01T00:48:57+00:00,stable-diffusion-v1-5/stable-diffusion-v1-5,451f4fe16113bff5a5d2269ed5ad43b0592e9a14,,,,2.13.0+cu126,12.6,0.39.0,NVIDIA GeForce RTX 4060 Laptop GPU,float16,DPMSolverMultistepScheduler,P2-geo,85ea0319cf2a6b0219702873d88f21092ac7334553e56c13c7603daec34b4660,322eba37a8cc00f3465f0420c556f351054c86b0fe77297c0e50f65cb6b7b494,,,not applicable - no reference used,,none,,,30,1337,512,512,30,7.5,0,text-only@512x512@tier0,True,False,pipeline default,10.744,3.22,2675.38,3246.0,4359.5,2472.87,1ff00b4e4febfc9bc48c70573a80f1ab8edf8b751960fae274be497030b38f5b,ok,,,outputs/EXP-010/EXP-010__text-only__C2__R2__none__sna__512x512__seed1337__tier0.png
EXP-010,C2,text-only,2026-08-01T00:49:00+00:00,stable-diffusion-v1-5/stable-diffusion-v1-5,451f4fe16113bff5a5d2269ed5ad43b0592e9a14,,,,2.13.0+cu126,12.6,0.39.0,NVIDIA GeForce RTX 4060 Laptop GPU,float16,DPMSolverMultistepScheduler,P2-geo,85ea0319cf2a6b0219702873d88f21092ac7334553e56c13c7603daec34b4660,322eba37a8cc00f3465f0420c556f351054c86b0fe77297c0e50f65cb6b7b494,,,not applicable - no reference used,,none,,,30,2026,512,512,30,7.5,0,text-only@512x512@tier0,True,False,pipeline default,10.744,3.225,2675.38,3246.0,4359.5,2473.07,fe73e9ca27613198a8142cfc06ac07e5b90f77dbfeab465ca63354a9c9865d5a,ok,,,outputs/EXP-010/EXP-010__text-only__C2__R2__none__sna__512x512__seed2026__tier0.png
EXP-010,C3,text-only,2026-08-01T00:49:04+00:00,stable-diffusion-v1-5/stable-diffusion-v1-5,451f4fe16113bff5a5d2269ed5ad43b0592e9a14,,,,2.13.0+cu126,12.6,0.39.0,NVIDIA GeForce RTX 4060 Laptop GPU,float16,DPMSolverMultistepScheduler,P3-ukiyo,9c8648d75ada09e507fe921445f19ba7a2bce1905c95cf28f8f8be00fa577a96,322eba37a8cc00f3465f0420c556f351054c86b0fe77297c0e50f65cb6b7b494,,,not applicable - no reference used,,none,,,30,42,512,512,30,7.5,0,text-only@512x512@tier0,True,False,pipeline default,10.744,3.244,2675.38,3246.0,4359.5,2473.2,7f65ab15a171c3cc8e99e8bb96de32af3420082b194727e84101616fd9e8c41c,ok,,,outputs/EXP-010/EXP-010__text-only__C3__R3__none__sna__512x512__seed42__tier0.png
EXP-010,C3,text-only,2026-08-01T00:49:07+00:00,stable-diffusion-v1-5/stable-diffusion-v1-5,451f4fe16113bff5a5d2269ed5ad43b0592e9a14,,,,2.13.0+cu126,12.6,0.39.0,NVIDIA GeForce RTX 4060 Laptop GPU,float16,DPMSolverMultistepScheduler,P3-ukiyo,9c8648d75ada09e507fe921445f19ba7a2bce1905c95cf28f8f8be00fa577a96,322eba37a8cc00f3465f0420c556f351054c86b0fe77297c0e50f65cb6b7b494,,,not applicable - no reference used,,none,,,30,1337,512,512,30,7.5,0,text-only@512x512@tier0,True,False,pipeline default,10.744,3.259,2675.38,3246.0,4359.5,2473.33,e3a150b2f5ad2b98c7bb27c0b5686a2bd2890b1fff8e75437324c0700b856b68,ok,,,outputs/EXP-010/EXP-010__text-only__C3__R3__none__sna__512x512__seed1337__tier0.png
EXP-010,C3,text-only,2026-08-01T00:49:10+00:00,stable-diffusion-v1-5/stable-diffusion-v1-5,451f4fe16113bff5a5d2269ed5ad43b0592e9a14,,,,2.13.0+cu126,12.6,0.39.0,NVIDIA GeForce RTX 4060 Laptop GPU,float16,DPMSolverMultistepScheduler,P3-ukiyo,9c8648d75ada09e507fe921445f19ba7a2bce1905c95cf28f8f8be00fa577a96,322eba37a8cc00f3465f0420c556f351054c86b0fe77297c0e50f65cb6b7b494,,,not applicable - no reference used,,none,,,30,2026,512,512,30,7.5,0,text-only@512x512@tier0,True,False,pipeline default,10.744,3.259,2675.38,3246.0,4359.5,2473.34,b9f0ce46bea516e1445c19d5c299848347e7cf3ae822299c98de56435b8eab88,ok,,,outputs/EXP-010/EXP-010__text-only__C3__R3__none__sna__512x512__seed2026__tier0.png
EXP-010,C4,text-only,2026-08-01T00:49:14+00:00,stable-diffusion-v1-5/stable-diffusion-v1-5,451f4fe16113bff5a5d2269ed5ad43b0592e9a14,,,,2.13.0+cu126,12.6,0.39.0,NVIDIA GeForce RTX 4060 Laptop GPU,float16,DPMSolverMultistepScheduler,P4-deck,bfd72ef751983f8a267f571a92badb946d8eb238b3cdc44f547d63b5a30bc19c,322eba37a8cc00f3465f0420c556f351054c86b0fe77297c0e50f65cb6b7b494,,,not applicable - no reference used,,none,,,30,42,512,512,30,7.5,0,text-only@512x512@tier0,True,False,pipeline default,10.744,3.26,2675.38,3246.0,4359.5,2473.35,508187805990d2bea40bf46555743729be8a5a33e2d957a89ec4fe87a72f50fd,ok,,,outputs/EXP-010/EXP-010__text-only__C4__R4__none__sna__512x512__seed42__tier0.png
