method,influence_level,strength_param,strength_value,resolution,conditions,seeds,experiments,images,prompt_adherence,style_consistency,reference_influence,visual_quality,decal_suitability,composition,artefacts,originality,diversity_across_seeds,copy_or_overfitting_risk,notes
img2img,medium,strength,0.6,512x512,"C1,C2,C3,C4","42,1337,2026",EXP-008,12,,,,,,,,,,,
img2img,medium,strength,0.65,512x512,"C1,C2,C3,C4,C5,C6","42,1337,2026","EXP-008,EXP-008b,EXP-011",19,,,,,,,,,,,
img2img,medium,strength,0.65,512x1536,"C1,C2,C4","42,1337,2026",EXP-013,9,,,,,,,,,,,
img2img,strong,strength,0.3,512x512,"C1,C2,C3,C4","42,1337,2026",EXP-008,12,,,,,,,,,,,
img2img,strong,strength,0.4,512x512,"C1,C2,C3,C4,C5,C6","42,1337,2026","EXP-008,EXP-008b,EXP-011",19,,,,,,,,,,,
img2img,strong,strength,0.45,512x512,"C1,C2,C3,C4","42,1337,2026",EXP-008,12,,,,,,,,,,,
img2img,weak,strength,0.75,512x512,"C1,C2,C3,C4","42,1337,2026",EXP-008,12,,,,,,,,,,,
img2img,weak,strength,0.85,512x512,"C1,C2,C3,C4,C5,C6","42,1337,2026","EXP-008,EXP-008b,EXP-011",19,,,,,,,,,,,
img2img,weak,strength,0.9,512x512,"C1,C2,C3,C4","42,1337,2026",EXP-008,12,,,,,,,,,,,
ip-adapter,medium,scale,0.55,512x512,"C1,C2,C3,C4,C5,C6","42,1337,2026","EXP-009,EXP-009b,EXP-011",19,,,,,,,,,,,
ip-adapter,medium,scale,0.55,512x1536,"C1,C2,C4","42,1337,2026",EXP-013,9,,,,,,,,,,,
ip-adapter,medium,scale,0.6,512x512,"C1,C2,C3,C4","42,1337,2026",EXP-009,12,,,,,,,,,,,
ip-adapter,none,scale,0.0,512x512,"C1,C2,C3,C4","42,1337,2026",EXP-010,12,,,,,,,,,,,
ip-adapter,strong,scale,0.8,512x512,"C1,C2,C3,C4","42,1337,2026",EXP-009,12,,,,,,,,,,,
ip-adapter,strong,scale,0.85,512x512,"C1,C2,C3,C4,C5,C6","42,1337,2026","EXP-009,EXP-009b,EXP-011",19,,,,,,,,,,,
ip-adapter,strong,scale,1.0,512x512,"C1,C2,C3,C4","42,1337,2026",EXP-009,12,,,,,,,,,,,
ip-adapter,weak,scale,0.2,512x512,"C1,C2,C3,C4","42,1337,2026",EXP-009,12,,,,,,,,,,,
ip-adapter,weak,scale,0.25,512x512,"C1,C2,C3,C4,C5,C6","42,1337,2026","EXP-009,EXP-009b,EXP-011",19,,,,,,,,,,,
ip-adapter,weak,scale,0.4,512x512,"C1,C2,C3,C4","42,1337,2026",EXP-009,12,,,,,,,,,,,
ip-adapter-plus,medium,scale,0.55,512x512,"C1,C2,C3,C4","42,1337,2026",EXP-012,12,,,,,,,,,,,
text-only,none,,,512x512,"C1,C2,C3,C4","42,1337,2026",EXP-010,12,,,,,,,,,,,
text-only,none,,,512x1536,"C1,C2,C4","42,1337,2026",EXP-010,9,,,,,,,,,,,
