exp_id,arm,style,checkpoint_step,prompt_id,seed,lora_weight,output_path,output_sha256,nearest_training_item,nearest_training_dhash,nearest_holdout_item,nearest_holdout_dhash,max_clip_cosine_to_training,most_similar_training_item_clip,near_copy_flag
EXP-026,EXP-020,minimal-geometric,150,VP1-style,42,0.7,outputs/EXP-025/EXP-025__EXP-020__minimal-geometric__ck00150__VP1-style__seed42__w0p7.png,104e1a36f1c91ac5c4a6be2730e90503cc66ceafaf841c859db2347417ef34cf,DS-0009,25,DS-0077,27,0.471572,DS-0042,False
EXP-026,EXP-020,minimal-geometric,150,VP1-style,42,1.0,outputs/EXP-025/EXP-025__EXP-020__minimal-geometric__ck00150__VP1-style__seed42__w1.png,a4f31b4099f1517358b9e2005ac401694429985d4b65daeff1638dbe651429a5,DS-0037,21,DS-0048,26,0.458044,DS-0003,False
EXP-026,EXP-020,minimal-geometric,150,VP1-style,1337,0.7,outputs/EXP-025/EXP-025__EXP-020__minimal-geometric__ck00150__VP1-style__seed1337__w0p7.png,4653c101b010f50b7d0eb8341a17c185ed5f95c062d194786c47f058180b43fb,DS-0030,22,DS-0103,27,0.651052,DS-0042,False
EXP-026,EXP-020,minimal-geometric,150,VP1-style,1337,1.0,outputs/EXP-025/EXP-025__EXP-020__minimal-geometric__ck00150__VP1-style__seed1337__w1.png,88cc19da94575f7a9eb588a5d98e4405958664fc17bbff5c76d051d3ae27afb0,DS-0030,20,DS-0048,31,0.657839,DS-0042,False
EXP-026,EXP-020,minimal-geometric,150,VP2-shared,42,0.7,outputs/EXP-025/EXP-025__EXP-020__minimal-geometric__ck00150__VP2-shared__seed42__w0p7.png,8560fecb9c93d83da2a8ff55dd1488267ee53f8f28a59e3ba2c78f6145a2c66e,DS-0028,22,DS-0077,26,0.461621,DS-0043,False
EXP-026,EXP-020,minimal-geometric,150,VP2-shared,42,1.0,outputs/EXP-025/EXP-025__EXP-020__minimal-geometric__ck00150__VP2-shared__seed42__w1.png,7e8169a1fc0653c7b8d33c07d96e18de281f0472f40f94194b7a827e26a695be,DS-0007,22,DS-0120,23,0.549257,DS-0043,False
EXP-026,EXP-020,minimal-geometric,150,VP2-shared,1337,0.7,outputs/EXP-025/EXP-025__EXP-020__minimal-geometric__ck00150__VP2-shared__seed1337__w0p7.png,293782be6c1ce2761a6aff61ebe4d9d827715176561d2fada750cf135b6917bf,DS-0040,24,DS-0115,30,0.492586,DS-0038,False
EXP-026,EXP-020,minimal-geometric,150,VP2-shared,1337,1.0,outputs/EXP-025/EXP-025__EXP-020__minimal-geometric__ck00150__VP2-shared__seed1337__w1.png,c33c5127eb90723f419269e46c56bfc8e624e0b584434291ed46c5ecda5a1b65,DS-0051,23,DS-0115,28,0.68196,DS-0038,False
EXP-026,EXP-020,minimal-geometric,300,VP1-style,42,0.7,outputs/EXP-025/EXP-025__EXP-020__minimal-geometric__ck00300__VP1-style__seed42__w0p7.png,e52568eaf8fc5a30ae5f3abdf3a5f83d563b47175c39cddb67de6986496c61a4,DS-0037,23,DS-0048,28,0.551474,DS-0051,False
EXP-026,EXP-020,minimal-geometric,300,VP1-style,42,1.0,outputs/EXP-025/EXP-025__EXP-020__minimal-geometric__ck00300__VP1-style__seed42__w1.png,1717f48237353b1a88ddd19dc8e0764aab4c92f1fcd633fde2f6d1afa8c13764,DS-0037,23,DS-0048,26,0.708055,DS-0043,False
EXP-026,EXP-020,minimal-geometric,300,VP1-style,1337,0.7,outputs/EXP-025/EXP-025__EXP-020__minimal-geometric__ck00300__VP1-style__seed1337__w0p7.png,9efcfd43bd373de39e6f273b2f20fe373aed759546cb51fdcae93277f872b2c7,DS-0030,25,DS-0103,28,0.606235,DS-0013,False
EXP-026,EXP-020,minimal-geometric,300,VP1-style,1337,1.0,outputs/EXP-025/EXP-025__EXP-020__minimal-geometric__ck00300__VP1-style__seed1337__w1.png,ebe8a90ff0e9b62a12c11c1ac2356b6ba8d2edb5df5076ab97c05525e4befca1,DS-0042,24,DS-0120,28,0.715455,DS-0020,False
EXP-026,EXP-020,minimal-geometric,300,VP2-shared,42,0.7,outputs/EXP-025/EXP-025__EXP-020__minimal-geometric__ck00300__VP2-shared__seed42__w0p7.png,fd3ff188224e9996e9644e0cf22b8a0d20342379b9d1de224ece0f69585e1994,DS-0043,21,DS-0120,23,0.6091,DS-0038,False
EXP-026,EXP-020,minimal-geometric,300,VP2-shared,42,1.0,outputs/EXP-025/EXP-025__EXP-020__minimal-geometric__ck00300__VP2-shared__seed42__w1.png,bec9b068ca5920e4ffddb8dc92ca30cafda45e44527283f511d6b79f33a96e7a,DS-0033,21,DS-0048,27,0.672923,DS-0038,False
EXP-026,EXP-020,minimal-geometric,300,VP2-shared,1337,0.7,outputs/EXP-025/EXP-025__EXP-020__minimal-geometric__ck00300__VP2-shared__seed1337__w0p7.png,4ceb201ef16daebfd26aae2d666a338f665df8bd83bb0ec181bda19c11915276,DS-0003,26,DS-0077,29,0.639713,DS-0004,False
EXP-026,EXP-020,minimal-geometric,300,VP2-shared,1337,1.0,outputs/EXP-025/EXP-025__EXP-020__minimal-geometric__ck00300__VP2-shared__seed1337__w1.png,e84a2e7f42a9bcc3afeb7dc2ebf9834e32203966c5e0893ae37336de5303ab74,DS-0018,23,DS-0088,24,0.718465,DS-0004,False
EXP-026,EXP-021,ukiyo-e,150,VP1-style,42,0.7,outputs/EXP-025/EXP-025__EXP-021__ukiyo-e__ck00150__VP1-style__seed42__w0p7.png,bd63ec383f62b16174ec77a3f7d451168e8bbd75f8c9c2473e6f270f14a8f091,DS-0096,21,DS-0048,25,0.628654,DS-0143,False
EXP-026,EXP-021,ukiyo-e,150,VP1-style,42,1.0,outputs/EXP-025/EXP-025__EXP-021__ukiyo-e__ck00150__VP1-style__seed42__w1.png,5add7183609221b8eca17efdfd6eb4b6620f14236801edc928d57474db64a793,DS-0127,17,DS-0115,24,0.691067,DS-0143,False
EXP-026,EXP-021,ukiyo-e,150,VP1-style,1337,0.7,outputs/EXP-025/EXP-025__EXP-021__ukiyo-e__ck00150__VP1-style__seed1337__w0p7.png,6592b966cc53e9c81ad62d5385efc49f3fba09e8c995ddddeca458d4693b8ae0,DS-0097,23,DS-0115,29,0.666939,DS-0137,False
EXP-026,EXP-021,ukiyo-e,150,VP1-style,1337,1.0,outputs/EXP-025/EXP-025__EXP-021__ukiyo-e__ck00150__VP1-style__seed1337__w1.png,40a25d468f34092ed340400394eefdfec6f20787431b4f98bdbc0fd5866fb52f,DS-0105,21,DS-0115,29,0.722256,DS-0137,False
EXP-026,EXP-021,ukiyo-e,150,VP2-shared,42,0.7,outputs/EXP-025/EXP-025__EXP-021__ukiyo-e__ck00150__VP2-shared__seed42__w0p7.png,221e028e4091d76f665f26f492d1da5aacb5c1da00f00db288962e68fcba836a,DS-0114,20,DS-0120,29,0.715977,DS-0134,False
EXP-026,EXP-021,ukiyo-e,150,VP2-shared,42,1.0,outputs/EXP-025/EXP-025__EXP-021__ukiyo-e__ck00150__VP2-shared__seed42__w1.png,3a331037e4ad3ae26da48d0e48b782ca32c5fd84b994cb75fe38253926485751,DS-0114,18,DS-0120,27,0.717998,DS-0094,False
EXP-026,EXP-021,ukiyo-e,150,VP2-shared,1337,0.7,outputs/EXP-025/EXP-025__EXP-021__ukiyo-e__ck00150__VP2-shared__seed1337__w0p7.png,9c3cf03161dd8876dcb677dc3edfb2e0959ab4adb1396928cd06eb46c8d5fe12,DS-0117,23,DS-0103,28,0.72168,DS-0134,False
