exp_id,arm,checkpoint_step,style,prompt_id,lora_weight,geometry,seeds,mean_pairwise_clip_distance,min_pairwise_clip_distance
EXP-033,BASE,0,minimal-geometric,FP1-style,,512x1536,2,0.383504,0.383504
EXP-033,BASE,0,minimal-geometric,FP1-style,,512x512,2,0.489047,0.489047
EXP-033,BASE,0,minimal-geometric,FP2-shared,,512x512,2,0.483534,0.483534
EXP-033,BASE,0,minimal-geometric,FP3-out-of-style,,512x512,2,0.45601,0.45601
EXP-033,BASE,0,minimal-geometric,FP4-style-free,,512x512,2,0.361096,0.361096
EXP-033,BASE,0,retro-poster,FP1-style,,512x1536,2,0.414476,0.414476
EXP-033,BASE,0,retro-poster,FP1-style,,512x512,2,0.394663,0.394663
EXP-033,BASE,0,retro-poster,FP2-shared,,512x512,2,0.530847,0.530847
EXP-033,BASE,0,retro-poster,FP3-out-of-style,,512x512,2,0.465454,0.465454
EXP-033,BASE,0,retro-poster,FP4-style-free,,512x512,2,0.361096,0.361096
EXP-033,BASE,0,ukiyo-e,FP1-style,,512x1536,2,0.377955,0.377955
EXP-033,BASE,0,ukiyo-e,FP1-style,,512x512,2,0.498772,0.498772
EXP-033,BASE,0,ukiyo-e,FP2-shared,,512x512,2,0.461175,0.461175
EXP-033,BASE,0,ukiyo-e,FP3-out-of-style,,512x512,2,0.339736,0.339736
EXP-033,BASE,0,ukiyo-e,FP4-style-free,,512x512,2,0.361096,0.361096
EXP-033,EXP-027,300,minimal-geometric,FP1-style,0.0,512x512,2,0.489047,0.489047
EXP-033,EXP-027,300,minimal-geometric,FP1-style,0.4,512x512,2,0.615195,0.615195
EXP-033,EXP-027,300,minimal-geometric,FP1-style,0.7,512x1536,2,0.324996,0.324996
EXP-033,EXP-027,300,minimal-geometric,FP1-style,0.7,512x512,3,0.406697,0.387438
EXP-033,EXP-027,300,minimal-geometric,FP1-style,1.0,512x1536,2,0.337666,0.337666
EXP-033,EXP-027,300,minimal-geometric,FP1-style,1.0,512x512,2,0.359138,0.359138
EXP-033,EXP-027,300,minimal-geometric,FP2-shared,0.0,512x512,2,0.483534,0.483534
EXP-033,EXP-027,300,minimal-geometric,FP2-shared,0.4,512x512,2,0.416989,0.416989
EXP-033,EXP-027,300,minimal-geometric,FP2-shared,0.7,512x512,3,0.471482,0.301005
EXP-033,EXP-027,300,minimal-geometric,FP2-shared,1.0,512x512,2,0.227777,0.227777
EXP-033,EXP-027,300,minimal-geometric,FP3-out-of-style,0.7,512x512,3,0.472182,0.387708
EXP-033,EXP-027,300,minimal-geometric,FP4-style-free,0.7,512x512,3,0.505465,0.440409
EXP-033,EXP-027,600,minimal-geometric,FP1-style,0.0,512x512,2,0.489047,0.489047
EXP-033,EXP-027,600,minimal-geometric,FP1-style,0.4,512x512,2,0.406618,0.406618
EXP-033,EXP-027,600,minimal-geometric,FP1-style,0.7,512x1536,2,0.282026,0.282026
EXP-033,EXP-027,600,minimal-geometric,FP1-style,0.7,512x512,3,0.396702,0.364977
EXP-033,EXP-027,600,minimal-geometric,FP1-style,1.0,512x1536,2,0.325764,0.325764
EXP-033,EXP-027,600,minimal-geometric,FP1-style,1.0,512x512,2,0.417451,0.417451
EXP-033,EXP-027,600,minimal-geometric,FP2-shared,0.0,512x512,2,0.483534,0.483534
EXP-033,EXP-027,600,minimal-geometric,FP2-shared,0.4,512x512,2,0.439563,0.439563
EXP-033,EXP-027,600,minimal-geometric,FP2-shared,0.7,512x512,3,0.442745,0.387506
EXP-033,EXP-027,600,minimal-geometric,FP2-shared,1.0,512x512,2,0.373884,0.373884
EXP-033,EXP-027,600,minimal-geometric,FP3-out-of-style,0.7,512x512,3,0.331362,0.310583
EXP-033,EXP-027,600,minimal-geometric,FP4-style-free,0.7,512x512,3,0.412964,0.327784
EXP-033,EXP-028,300,ukiyo-e,FP1-style,0.0,512x512,2,0.498772,0.498772
EXP-033,EXP-028,300,ukiyo-e,FP1-style,0.4,512x512,2,0.1916,0.1916
EXP-033,EXP-028,300,ukiyo-e,FP1-style,0.7,512x1536,2,0.104889,0.104889
EXP-033,EXP-028,300,ukiyo-e,FP1-style,0.7,512x512,3,0.303849,0.124907
EXP-033,EXP-028,300,ukiyo-e,FP1-style,1.0,512x1536,2,0.128081,0.128081
EXP-033,EXP-028,300,ukiyo-e,FP1-style,1.0,512x512,2,0.224626,0.224626
EXP-033,EXP-028,300,ukiyo-e,FP2-shared,0.0,512x512,2,0.461175,0.461175
EXP-033,EXP-028,300,ukiyo-e,FP2-shared,0.4,512x512,2,0.464896,0.464896
EXP-033,EXP-028,300,ukiyo-e,FP2-shared,0.7,512x512,3,0.343214,0.215891
EXP-033,EXP-028,300,ukiyo-e,FP2-shared,1.0,512x512,2,0.175637,0.175637
EXP-033,EXP-028,300,ukiyo-e,FP3-out-of-style,0.7,512x512,3,0.399371,0.32231
EXP-033,EXP-028,300,ukiyo-e,FP4-style-free,0.7,512x512,3,0.468142,0.453587
EXP-033,EXP-028,600,ukiyo-e,FP1-style,0.0,512x512,2,0.498772,0.498772
EXP-033,EXP-028,600,ukiyo-e,FP1-style,0.4,512x512,2,0.251978,0.251978
EXP-033,EXP-028,600,ukiyo-e,FP1-style,0.7,512x1536,2,0.217454,0.217454
EXP-033,EXP-028,600,ukiyo-e,FP1-style,0.7,512x512,3,0.437884,0.173823
EXP-033,EXP-028,600,ukiyo-e,FP1-style,1.0,512x1536,2,0.126122,0.126122
EXP-033,EXP-028,600,ukiyo-e,FP1-style,1.0,512x512,2,0.179902,0.179902
EXP-033,EXP-028,600,ukiyo-e,FP2-shared,0.0,512x512,2,0.461175,0.461175
EXP-033,EXP-028,600,ukiyo-e,FP2-shared,0.4,512x512,2,0.411567,0.411567
EXP-033,EXP-028,600,ukiyo-e,FP2-shared,0.7,512x512,3,0.317027,0.174712
EXP-033,EXP-028,600,ukiyo-e,FP2-shared,1.0,512x512,2,0.258162,0.258162
EXP-033,EXP-028,600,ukiyo-e,FP3-out-of-style,0.7,512x512,3,0.320927,0.265607
EXP-033,EXP-028,600,ukiyo-e,FP4-style-free,0.7,512x512,3,0.50007,0.488522
EXP-033,EXP-029,300,retro-poster,FP1-style,0.0,512x512,2,0.394663,0.394663
EXP-033,EXP-029,300,retro-poster,FP1-style,0.4,512x512,2,0.359528,0.359528
EXP-033,EXP-029,300,retro-poster,FP1-style,0.7,512x1536,2,0.256489,0.256489
EXP-033,EXP-029,300,retro-poster,FP1-style,0.7,512x512,3,0.541564,0.471826
EXP-033,EXP-029,300,retro-poster,FP1-style,1.0,512x1536,2,0.38186,0.38186
EXP-033,EXP-029,300,retro-poster,FP1-style,1.0,512x512,2,0.379733,0.379733
EXP-033,EXP-029,300,retro-poster,FP2-shared,0.0,512x512,2,0.530847,0.530847
EXP-033,EXP-029,300,retro-poster,FP2-shared,0.4,512x512,2,0.63129,0.63129
EXP-033,EXP-029,300,retro-poster,FP2-shared,0.7,512x512,3,0.561105,0.431525
EXP-033,EXP-029,300,retro-poster,FP2-shared,1.0,512x512,2,0.646035,0.646035
EXP-033,EXP-029,300,retro-poster,FP3-out-of-style,0.7,512x512,3,0.45771,0.307828
EXP-033,EXP-029,300,retro-poster,FP4-style-free,0.7,512x512,3,0.541721,0.485272
EXP-033,EXP-029,600,retro-poster,FP1-style,0.0,512x512,2,0.394663,0.394663
EXP-033,EXP-029,600,retro-poster,FP1-style,0.4,512x512,2,0.463478,0.463478
