exp_id,arm,kind,style,checkpoint_step,prompt_id,prompt_role,seed,lora_weight,geometry,output_path,output_sha256,nearest_training_item,nearest_training_dhash,nearest_holdout_item,nearest_holdout_dhash,max_clip_cosine_to_training,most_similar_training_item_clip,near_copy_flag
EXP-033,EXP-027,candidate,minimal-geometric,300,FP1-style,style-matching,42,0.0,512x512,outputs/EXP-031/EXP-031__EXP-027__minimal-geometric__ck00300__FP1-style__seed42__w0__512x512.png,d3740778e9ee7a70fd2f1712f5e706185d4eb75f8a91ed944677d6f6a1889586,DS-0015,23,DS-0120,28,0.369702,DS-0006,False
EXP-033,EXP-027,candidate,minimal-geometric,300,FP1-style,style-matching,42,0.4,512x512,outputs/EXP-031/EXP-031__EXP-027__minimal-geometric__ck00300__FP1-style__seed42__w0p4__512x512.png,47cf59a59cd3f08a25e19597a950b6168ceeee1487eb6254095324dd8e0d73bd,DS-0006,24,DS-0115,26,0.47344,DS-0006,False
EXP-033,EXP-027,candidate,minimal-geometric,300,FP1-style,style-matching,42,0.7,512x512,outputs/EXP-031/EXP-031__EXP-027__minimal-geometric__ck00300__FP1-style__seed42__w0p7__512x512.png,208c91deadb8dcb5590e0b7981df7035487db112377f7366b2b01ce3fdf74dc2,DS-0051,22,DS-0048,29,0.443445,DS-0050,False
EXP-033,EXP-027,candidate,minimal-geometric,300,FP1-style,style-matching,42,1.0,512x512,outputs/EXP-031/EXP-031__EXP-027__minimal-geometric__ck00300__FP1-style__seed42__w1__512x512.png,d6f2866d9ca348e9bba9d335221aba7bf4054e559c98abaf9dd50638f379d376,DS-0039,25,DS-0048,28,0.685547,DS-0007,False
EXP-033,EXP-027,candidate,minimal-geometric,300,FP1-style,style-matching,1337,0.0,512x512,outputs/EXP-031/EXP-031__EXP-027__minimal-geometric__ck00300__FP1-style__seed1337__w0__512x512.png,13a89a3b8feb5c898486842cd9d14072f6c05caad0bc6f7643eeff62240453e7,DS-0016,23,DS-0103,29,0.422669,DS-0042,False
EXP-033,EXP-027,candidate,minimal-geometric,300,FP1-style,style-matching,1337,0.4,512x512,outputs/EXP-031/EXP-031__EXP-027__minimal-geometric__ck00300__FP1-style__seed1337__w0p4__512x512.png,4a731c51d6e1220c301144d0902baa4208438016e39f8fae711457542269980c,DS-0030,20,DS-0115,29,0.573095,DS-0020,False
EXP-033,EXP-027,candidate,minimal-geometric,300,FP1-style,style-matching,1337,0.7,512x512,outputs/EXP-031/EXP-031__EXP-027__minimal-geometric__ck00300__FP1-style__seed1337__w0p7__512x512.png,318621acbd294c33e541b94efd2af8832bc02dc8ce94b39bee067622523badc7,DS-0030,19,DS-0079,29,0.644979,DS-0013,False
EXP-033,EXP-027,candidate,minimal-geometric,300,FP1-style,style-matching,1337,1.0,512x512,outputs/EXP-031/EXP-031__EXP-027__minimal-geometric__ck00300__FP1-style__seed1337__w1__512x512.png,502581564a40234a8babdf7e0e0348cd23396e77938f8494e267bae770073fd6,DS-0027,26,DS-0077,28,0.727783,DS-0035,False
EXP-033,EXP-027,candidate,minimal-geometric,300,FP2-shared,shared-cross-style,42,0.0,512x512,outputs/EXP-031/EXP-031__EXP-027__minimal-geometric__ck00300__FP2-shared__seed42__w0__512x512.png,44c9954e14382a16e654b85419d0b10bbdb6c7fe471211eefe3effab15399434,DS-0030,22,DS-0048,23,0.399003,DS-0043,False
EXP-033,EXP-027,candidate,minimal-geometric,300,FP2-shared,shared-cross-style,42,0.4,512x512,outputs/EXP-031/EXP-031__EXP-027__minimal-geometric__ck00300__FP2-shared__seed42__w0p4__512x512.png,1d5b878305ab722213df2bfc7ed8dad7b114dae61451779254f8d70160ddbf18,DS-0012,21,DS-0048,25,0.447667,DS-0043,False
EXP-033,EXP-027,candidate,minimal-geometric,300,FP2-shared,shared-cross-style,42,0.7,512x512,outputs/EXP-031/EXP-031__EXP-027__minimal-geometric__ck00300__FP2-shared__seed42__w0p7__512x512.png,8a9213508df4be98e269a84f9141c661a4aea6dd300c12542f91305266e9f120,DS-0050,18,DS-0088,27,0.45434,DS-0043,False
