id,style,border_mean_luminance,interior_mean_luminance,delta,flagged_dark_border
DS-0001,minimal-geometric,34.21,73.84,-39.63,True
DS-0002,minimal-geometric,235.19,202.05,33.15,False
DS-0003,minimal-geometric,202.21,193.79,8.41,False
DS-0004,minimal-geometric,30.75,63.9,-33.15,True
DS-0005,minimal-geometric,33.91,35.6,-1.69,False
DS-0006,minimal-geometric,32.13,67.08,-34.94,True
DS-0007,minimal-geometric,231.64,218.42,13.22,False
DS-0008,minimal-geometric,227.08,208.5,18.58,False
DS-0009,minimal-geometric,206.38,170.21,36.17,False
DS-0010,minimal-geometric,33.72,39.86,-6.15,False
DS-0011,minimal-geometric,202.04,166.68,35.36,False
DS-0012,minimal-geometric,225.22,185.71,39.52,False
DS-0013,minimal-geometric,236.22,183.64,52.58,False
DS-0015,minimal-geometric,225.14,203.76,21.38,False
DS-0016,minimal-geometric,228.14,188.54,39.6,False
DS-0017,minimal-geometric,239.66,201.95,37.71,False
DS-0018,minimal-geometric,61.99,85.54,-23.55,False
DS-0019,minimal-geometric,33.31,70.79,-37.49,True
DS-0020,minimal-geometric,211.07,194.72,16.35,False
DS-0023,minimal-geometric,29.08,59.98,-30.9,True
DS-0024,minimal-geometric,39.87,71.84,-31.97,True
DS-0025,minimal-geometric,225.35,189.25,36.1,False
DS-0027,minimal-geometric,239.45,189.46,49.99,False
DS-0028,minimal-geometric,240.31,227.03,13.28,False
DS-0030,minimal-geometric,201.29,192.15,9.14,False
DS-0031,minimal-geometric,237.52,210.93,26.59,False
DS-0032,minimal-geometric,242.78,192.07,50.71,False
DS-0033,minimal-geometric,60.27,89.51,-29.24,True
DS-0034,minimal-geometric,237.96,215.4,22.56,False
DS-0035,minimal-geometric,227.65,203.18,24.47,False
DS-0037,minimal-geometric,29.29,57.53,-28.24,True
DS-0038,minimal-geometric,240.32,197.97,42.35,False
DS-0039,minimal-geometric,234.2,217.89,16.31,False
DS-0040,minimal-geometric,208.21,158.03,50.18,False
DS-0041,minimal-geometric,236.52,193.02,43.51,False
DS-0042,minimal-geometric,58.47,81.1,-22.63,False
DS-0043,minimal-geometric,24.52,53.35,-28.83,True
DS-0045,minimal-geometric,29.21,68.28,-39.07,True
DS-0046,minimal-geometric,228.03,197.16,30.87,False
DS-0047,minimal-geometric,39.13,69.96,-30.82,True
DS-0049,minimal-geometric,218.93,211.96,6.97,False
DS-0050,minimal-geometric,234.24,170.96,63.27,False
DS-0051,minimal-geometric,233.4,176.95,56.45,False
DS-0052,minimal-geometric,234.46,199.61,34.85,False
DS-0094,ukiyo-e,153.69,142.79,10.89,False
DS-0096,ukiyo-e,202.45,117.81,84.63,False
DS-0097,ukiyo-e,199.03,136.61,62.42,False
DS-0098,ukiyo-e,213.31,182.05,31.27,False
DS-0099,ukiyo-e,199.32,174.75,24.58,False
DS-0100,ukiyo-e,184.29,146.53,37.76,False
DS-0101,ukiyo-e,166.48,113.03,53.45,False
DS-0102,ukiyo-e,201.75,148.84,52.91,False
DS-0104,ukiyo-e,211.79,201.71,10.08,False
DS-0105,ukiyo-e,160.1,141.95,18.15,False
DS-0107,ukiyo-e,223.88,162.36,61.52,False
DS-0108,ukiyo-e,180.49,101.65,78.84,False
DS-0109,ukiyo-e,198.4,131.37,67.03,False
DS-0110,ukiyo-e,190.42,171.58,18.84,False
DS-0112,ukiyo-e,210.48,145.19,65.28,False
DS-0113,ukiyo-e,214.45,119.33,95.12,False
DS-0114,ukiyo-e,227.87,191.98,35.89,False
DS-0116,ukiyo-e,187.25,167.53,19.72,False
DS-0117,ukiyo-e,189.0,182.33,6.67,False
DS-0118,ukiyo-e,189.96,156.32,33.64,False
DS-0119,ukiyo-e,179.36,159.38,19.98,False
DS-0121,ukiyo-e,188.88,166.55,22.33,False
DS-0122,ukiyo-e,194.43,156.81,37.62,False
DS-0123,ukiyo-e,146.74,172.99,-26.26,True
DS-0124,ukiyo-e,224.88,141.82,83.06,False
DS-0125,ukiyo-e,207.2,187.89,19.3,False
DS-0126,ukiyo-e,210.2,182.48,27.72,False
DS-0127,ukiyo-e,163.83,135.79,28.04,False
DS-0129,ukiyo-e,199.64,186.64,13.0,False
DS-0131,ukiyo-e,186.84,170.04,16.81,False
DS-0132,ukiyo-e,179.0,168.97,10.03,False
DS-0133,ukiyo-e,205.98,171.54,34.44,False
DS-0134,ukiyo-e,209.98,183.81,26.17,False
DS-0135,ukiyo-e,58.36,164.39,-106.03,True
DS-0136,ukiyo-e,225.03,129.76,95.27,False
DS-0137,ukiyo-e,170.12,130.61,39.5,False
DS-0139,ukiyo-e,140.57,155.79,-15.22,False
DS-0140,ukiyo-e,196.19,142.92,53.27,False
DS-0141,ukiyo-e,210.75,142.27,68.48,False
DS-0142,ukiyo-e,138.12,145.32,-7.2,False
DS-0143,ukiyo-e,224.19,160.38,63.82,False
DS-0144,ukiyo-e,212.27,171.42,40.85,False
DS-0145,ukiyo-e,211.07,190.13,20.95,False
DS-0146,ukiyo-e,186.32,203.8,-17.48,False
DS-0053,retro-poster,180.59,154.89,25.7,False
DS-0054,retro-poster,64.5,139.4,-74.9,True
DS-0055,retro-poster,46.21,127.38,-81.16,True
DS-0056,retro-poster,30.41,157.39,-126.98,True
DS-0057,retro-poster,39.17,143.53,-104.37,True
DS-0058,retro-poster,60.55,167.36,-106.81,True
DS-0059,retro-poster,22.67,70.58,-47.91,True
DS-0060,retro-poster,57.32,131.57,-74.25,True
DS-0061,retro-poster,32.32,137.84,-105.52,True
DS-0062,retro-poster,33.66,137.22,-103.56,True
DS-0063,retro-poster,35.1,131.29,-96.19,True
DS-0064,retro-poster,29.15,138.32,-109.17,True
DS-0065,retro-poster,30.1,74.76,-44.66,True
DS-0066,retro-poster,28.56,112.01,-83.45,True
DS-0067,retro-poster,24.09,98.59,-74.5,True
DS-0068,retro-poster,27.55,94.83,-67.28,True
DS-0069,retro-poster,23.74,72.75,-49.02,True
DS-0070,retro-poster,51.59,112.87,-61.28,True
DS-0071,retro-poster,19.95,61.73,-41.78,True
DS-0072,retro-poster,25.9,78.7,-52.8,True
DS-0073,retro-poster,21.83,96.85,-75.02,True
DS-0074,retro-poster,18.34,75.15,-56.82,True
DS-0075,retro-poster,17.69,74.45,-56.76,True
DS-0076,retro-poster,21.67,92.44,-70.77,True
DS-0080,retro-poster,21.59,89.06,-67.47,True
DS-0081,retro-poster,18.34,96.73,-78.39,True
DS-0082,retro-poster,20.94,93.62,-72.67,True
DS-0084,retro-poster,24.67,99.48,-74.81,True
DS-0085,retro-poster,26.34,94.68,-68.34,True
DS-0086,retro-poster,33.75,114.27,-80.52,True
DS-0087,retro-poster,45.97,110.22,-64.26,True
DS-0089,retro-poster,40.38,110.17,-69.78,True
DS-0090,retro-poster,32.73,109.55,-76.82,True
DS-0091,retro-poster,26.87,64.85,-37.98,True
DS-0092,retro-poster,34.66,121.27,-86.61,True
DS-0093,retro-poster,27.34,70.26,-42.92,True
